,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,남원읍,1907002.1,335985.94,32241.676,190560.2,62.05483,8534.916,166.48842,8865.668,126.5602,77.55842,562.75134,68.06475,325.6899,53.50555,27.293428,7.220292,156.73747,605.67786,-0.4662037
1,2021-07-02,남원읍,1879351.4,329935.03,30295.676,184851.0,81.13246,6895.847,187.28539,9090.7295,118.497185,85.148415,532.35345,71.58454,349.42197,57.361626,23.797594,8.6054,129.22925,633.2279,0.09997107
2,2021-07-03,남원읍,1903709.1,335802.62,25259.922,213427.19,126.93109,7488.899,186.00652,8958.638,132.57323,116.540985,549.2849,86.83695,362.4211,60.267574,27.104082,12.004299,156.83566,663.1341,0.29376006
3,2021-07-04,남원읍,1968044.4,344947.9,23171.547,204594.55,144.13747,9804.336,186.35744,8819.379,113.65316,71.51823,647.0153,83.83981,364.37436,78.62297,28.674896,6.230955,147.75778,544.22327,0.10325186
4,2021-07-05,남원읍,2131834.8,338833.1,31431.523,193862.52,112.82287,10763.516,166.75854,8922.416,127.80458,111.52282,556.61865,62.998306,374.70624,51.27731,16.133444,8.743287,128.02174,557.57806,0.27792448
5,2021-07-06,남원읍,1973832.9,345243.75,34143.83,189289.86,92.37356,10232.277,176.20909,9751.419,138.65799,70.59115,466.13916,54.913452,339.0844,49.954056,12.050991,7.10699,132.94432,576.5267,0.04328005
6,2021-07-07,남원읍,1948679.8,344582.25,33085.227,186974.61,79.77646,9795.4375,176.59695,9448.971,135.78488,71.85876,475.15387,66.607796,338.9841,51.901962,21.325075,4.8535514,141.13821,564.19073,-0.11130378
7,2021-07-08,남원읍,1921540.1,339619.25,34303.38,184983.17,67.28285,9115.376,166.15453,9514.845,139.10202,93.647194,529.57745,67.002525,350.48755,56.08684,24.847784,6.8142614,131.68701,615.7399,-0.36808968
8,2021-07-09,남원읍,1919497.0,334312.7,32231.455,184686.78,80.9651,8567.18,145.2112,9201.074,128.45819,106.38272,525.3816,67.079735,372.9457,63.766567,16.508991,5.2363224,122.39002,646.41986,0.10846183
9,2021-07-10,남원읍,1985058.1,344743.94,25935.953,216417.64,93.32591,8985.673,141.64256,9061.876,128.9644,104.76649,621.66956,81.18593,377.16357,69.507614,33.06474,5.4696245,161.78465,661.8027,0.2675199
10,2021-07-11,남원읍,2108371.0,353750.5,24940.828,208757.39,85.73856,9861.43,142.98294,8830.3545,115.97049,53.836445,569.2037,71.21989,351.30096,81.00764,14.260171,6.764729,126.27222,576.99176,-0.01284942
11,2021-07-12,남원읍,2020304.9,345238.0,33398.68,175564.98,48.576088,7997.7905,135.6653,9077.28,141.47975,90.841415,488.5467,56.670208,371.17282,52.780746,18.58467,4.7972584,100.03324,610.3717,-0.006434545
12,2021-07-13,남원읍,2025614.1,351750.06,35235.625,176267.56,42.541737,8190.0503,151.9378,9907.47,95.17057,61.400528,442.37402,61.324833,362.06342,61.409203,30.593958,3.0217075,131.36818,577.11346,1.579
13,2021-07-14,남원읍,1940381.4,345386.7,34508.79,168857.11,36.986526,8039.0234,153.17212,9494.046,127.61887,82.714424,466.6756,66.111244,358.01025,52.14597,21.264341,0.4355635,101.314995,580.8487,-0.09054631
14,2021-07-15,남원읍,1957271.8,348473.38,34270.652,166350.12,36.287556,8310.11,154.43248,9458.529,111.04696,70.84361,519.8517,82.50275,337.56967,59.179882,34.230495,1.5983379,108.00457,501.47125,-0.0776536
15,2021-07-16,남원읍,2248750.8,338402.97,34004.37,188666.66,68.59844,9719.971,139.61746,9406.2,127.58228,100.85319,409.41675,51.821156,371.26675,63.578487,11.107773,10.692673,118.192154,677.03864,-0.12406364
16,2021-07-17,남원읍,2128036.5,350736.66,26952.365,207708.33,63.696022,10805.72,138.21185,9500.56,109.93492,88.05086,630.61346,66.0132,356.99493,81.48027,28.469986,7.2614903,159.67546,598.9484,0.33119008
17,2021-07-18,남원읍,2021285.6,350901.03,25098.232,186090.38,60.875862,9177.484,123.51452,9015.096,138.71323,65.574646,642.3687,57.3458,360.785,93.08849,23.16666,0.79635614,172.67807,468.9887,0.12576282
18,2021-07-19,남원읍,1911404.9,347399.88,30679.14,142910.83,29.432014,4767.753,140.16042,8975.626,91.249054,96.33674,551.3044,60.90528,346.4925,57.792545,5.3866286,13.258114,121.873146,539.12616,-0.29697254
19,2021-07-20,남원읍,2002521.8,342883.1,31275.244,147938.36,19.971634,5514.9756,151.22348,9446.707,95.818115,60.698112,449.6501,62.03647,374.83963,55.609562,21.306694,8.630634,127.75947,528.8269,0.059645027
20,2021-07-21,남원읍,1896300.9,349381.03,31929.82,148442.95,35.238514,7172.8213,144.79344,9593.34,128.00151,96.48867,490.59283,80.04069,376.08456,71.426476,17.870264,5.3845344,93.08024,510.44336,0.24900869
