,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,노형동,8020925.0,1263645.0,110730.375,417557.94,265.7818,14545.522,1192.7369,34302.027,1451.7136,542.32416,5617.527,1193.9885,1615.5621,300.05466,80.67394,92.75309,878.6069,3439.7544,1.3603328
1,2021-07-02,노형동,7893393.5,1236423.1,111338.01,440439.56,305.8393,15350.095,1240.6323,33116.586,1452.5225,560.9378,5561.8154,1527.3069,1451.3597,401.21344,136.23367,111.28152,900.2128,4151.224,2.3939774
2,2021-07-03,노형동,7669594.5,1259825.1,81182.81,422605.6,296.08743,16151.029,1115.3744,33043.305,1369.8822,550.337,5351.4194,1730.3138,1524.5513,424.85397,170.29582,108.20879,942.0544,4246.3994,-1.1924328
3,2021-07-04,노형동,7945770.5,1311509.4,68912.336,384104.1,291.17648,14381.176,1080.6941,34428.824,967.9772,295.68588,4606.686,1689.1906,1313.4164,360.53452,160.8548,65.01357,866.57086,3476.226,-2.4392514
4,2021-07-05,노형동,8626365.0,1278681.4,103800.73,400637.4,276.90128,14774.142,1052.5625,34265.723,1063.7428,420.37857,4649.197,1436.5192,1341.8243,288.35144,112.56846,54.288628,710.4077,3541.6726,-1.8891809
5,2021-07-06,노형동,8144329.0,1210786.6,126808.086,431947.97,248.78723,14153.2705,1011.58655,32597.691,1177.7423,576.38586,4920.682,1393.303,1403.163,352.17426,151.20108,71.40464,707.96954,4294.8335,2.5123663
6,2021-07-07,노형동,6975739.0,1203260.9,127234.28,426732.94,189.42033,12568.048,1090.1442,32864.02,1133.8832,561.62866,4749.466,1157.6935,1463.4526,393.47394,128.19307,67.34126,661.553,4218.9106,0.544115
7,2021-07-08,노형동,7083416.0,1227067.2,109729.24,421015.7,235.84183,13928.597,1155.6022,33064.832,1207.7769,498.75262,4955.384,996.88855,1492.3995,331.7397,74.521576,85.96601,747.5851,3689.56,0.54968977
8,2021-07-09,노형동,7014663.5,1196748.6,118620.914,454884.8,326.02255,14599.846,1216.9131,32486.973,1304.484,555.59467,4927.288,1423.5681,1383.8762,387.55728,99.42827,127.56516,837.83356,4357.9575,5.917497
9,2021-07-10,노형동,7479839.5,1195602.9,90334.44,452785.62,307.33893,14798.794,1071.6437,31519.465,1345.2135,585.00775,5718.461,1483.3247,1600.1229,477.6811,175.99237,129.42833,921.24774,4948.338,-0.8158523
10,2021-07-11,노형동,8124369.5,1231365.8,72175.63,396498.5,225.42621,12532.899,1026.0698,32209.135,1017.4034,340.7774,5228.2397,1552.4213,1421.2537,470.1372,201.10016,109.16952,894.129,4555.9937,0.756842
