,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,대륜동,1157136.0,334651.84,30443.098,153682.67,268.0323,2446.2905,145.62045,2357.4014,165.31258,38.646618,762.0591,183.36691,248.29193,54.293083,38.920235,8.797337,166.06302,661.6288,-0.20644665
1,2021-07-02,대륜동,1317272.8,326481.56,33973.168,144468.3,161.52391,2149.9812,170.74762,2440.306,184.50926,60.43855,912.4731,208.27351,339.12625,81.739944,49.638496,12.392136,194.31914,785.3676,-0.060107633
2,2021-07-03,대륜동,1275921.6,327923.47,25219.084,161691.94,200.5266,2358.4468,153.43977,2567.7595,231.02655,59.663357,920.4902,244.38448,326.932,109.920006,53.871414,13.807532,202.03537,797.54254,-0.22146322
3,2021-07-04,대륜동,1383577.4,344023.56,23290.57,149400.92,136.67674,2198.2961,172.8041,2624.707,177.01274,39.266743,889.88904,244.01462,316.01605,111.63544,54.552696,8.977836,216.8681,643.56757,0.37129596
4,2021-07-05,대륜동,1339020.6,330029.78,37122.465,141534.03,108.46864,1895.7908,176.28185,2359.46,193.17636,50.170017,911.0935,139.88954,328.539,57.017544,20.441359,9.824231,169.71896,685.6917,0.5438385
5,2021-07-06,대륜동,1385720.0,319822.2,37568.258,142990.81,93.63287,2321.5347,182.97067,2331.927,181.09079,52.656727,863.868,161.52452,352.6639,73.35423,56.686382,8.630505,197.03125,743.88196,-0.24162076
6,2021-07-07,대륜동,1364650.6,313529.72,36695.145,152182.97,105.14166,2777.7983,198.66039,2354.0022,155.80998,56.851852,891.07477,148.68346,326.89456,85.076065,47.683743,7.685577,171.97765,764.67334,-0.027465
7,2021-07-08,대륜동,1249041.0,317139.6,37085.207,151063.78,162.7447,2649.4338,177.97772,2305.4285,171.91455,57.116573,875.49567,162.43343,301.56055,94.274025,42.444935,17.396872,189.35349,772.682,-0.119298026
8,2021-07-09,대륜동,1213816.0,318257.97,35655.668,149263.53,182.08037,2320.8052,165.35925,2240.442,198.257,55.30505,855.6333,209.43535,334.3718,88.266884,50.522057,12.929262,199.34845,813.0744,-0.34987822
9,2021-07-10,대륜동,1319021.9,316789.4,25637.842,159965.2,164.57603,2525.993,169.44914,2293.422,214.56584,56.75781,991.92426,227.03777,388.15045,135.08733,84.54165,18.812881,223.22536,901.0615,-0.159107
10,2021-07-11,대륜동,1248839.6,326978.06,23671.219,156988.45,162.87358,2363.329,199.21147,2264.3264,171.11977,42.143593,955.4699,226.99033,321.87613,136.5441,65.08158,8.7443285,238.64128,734.3526,0.1339482
11,2021-07-12,대륜동,1306373.0,314893.25,37220.805,152342.61,165.81989,2381.9712,209.47667,2132.0144,190.02545,64.4852,855.6635,141.73082,327.30356,67.56086,27.3507,14.678025,157.51768,736.2525,0.050123557
12,2021-07-13,대륜동,1342656.6,303386.78,39874.805,165554.64,144.42685,2974.5186,218.46367,2167.338,180.08792,57.594006,897.77094,150.28844,304.5169,93.988144,46.53956,7.9463983,174.69713,821.9479,-0.18429324
13,2021-07-14,대륜동,1225606.1,306288.1,39793.246,172801.61,165.5593,3007.039,208.11569,2274.2686,168.89581,56.451187,822.671,170.95914,306.32474,107.85407,38.648945,14.786662,174.69794,773.6978,0.09009581
14,2021-07-15,대륜동,1215150.1,305873.88,39255.543,172252.3,180.95216,2998.7888,169.9136,2232.1104,176.96072,60.857727,854.9581,139.54233,285.47458,93.26304,37.489243,14.84319,181.79495,768.6405,0.9198792
15,2021-07-16,대륜동,1302782.0,307258.7,36632.72,173992.2,221.6399,3434.6902,175.48895,2094.1746,201.7707,49.720455,867.41846,207.65602,328.93488,81.650185,56.678944,14.035177,199.33679,834.53955,0.35348123
16,2021-07-17,대륜동,1321479.9,308009.66,25544.846,180968.2,214.02493,3725.1753,186.59538,2308.4724,199.53047,51.127712,567.2649,234.50568,394.2824,133.05186,77.93032,19.346684,255.76437,956.9883,0.14906523
17,2021-07-18,대륜동,1310927.8,322304.4,22638.025,180543.34,232.64223,3111.3933,186.08649,2414.7358,197.22308,30.21074,1131.5814,207.90738,318.5199,138.45183,48.438835,10.735501,196.89119,782.09424,0.3167754
18,2021-07-19,대륜동,1257071.8,306561.53,37118.594,172780.4,208.27414,2934.744,208.29533,2076.7705,200.47789,48.05896,866.27673,133.75652,342.51193,75.37236,34.20006,14.140994,162.01863,759.3246,-0.040874183
19,2021-07-20,대륜동,1290956.2,299747.06,38923.395,186591.69,171.09085,3452.3408,198.63771,2285.9917,166.9421,57.96074,922.8482,138.39377,297.7366,93.27172,60.216255,15.545361,174.16786,897.4626,0.11878334
20,2021-07-21,대륜동,1149301.9,304606.78,39373.676,193885.58,195.2346,3471.1755,205.84421,2245.14,199.41805,52.207882,824.8816,151.82468,317.8954,110.47559,39.58522,14.826811,176.41406,819.9183,0.9070945
21,2021-07-22,대륜동,1197405.4,300054.9,39002.582,195253.77,180.88277,3302.369,193.56134,2277.1514,195.69229,60.698074,901.24304,122.88073,283.2372,123.444855,49.1587,13.824927,181.49144,874.3187,2.7271738
22,2021-07-23,대륜동,1367108.8,301771.72,37718.137,194082.62,245.87808,3301.1675,207.1579,2316.0312,218.69933,49.79468,912.23846,191.44374,288.1357,122.295975,63.255997,14.914835,184.69382,965.24695,0.45825577
23,2021-07-24,대륜동,1285147.6,311999.88,25308.14,204795.11,272.1999,3102.8535,197.57628,2360.7007,226.35558,67.226036,1041.0115,214.56978,286.63022,114.51006,55.794266,17.26698,216.05206,993.9994,-0.43061808
24,2021-07-25,대륜동,1335270.5,332245.66,25783.691,188627.44,195.46455,2243.5476,222.1248,2782.923,213.80865,35.353676,1092.2389,206.98888,284.19025,146.13432,77.68696,7.207607,218.31656,776.7859,0.44333813
25,2021-07-26,대륜동,1355426.9,327511.28,41643.86,174000.67,98.7675,2103.075,271.77762,2761.3772,159.83096,53.415207,903.2303,134.2106,318.84186,75.77933,24.916193,4.6687975,156.81607,765.76044,-0.20470731
26,2021-07-27,대륜동,1265304.2,318602.94,42938.805,176736.62,96.76744,3097.549,241.40645,2917.147,169.627,42.118782,827.69666,106.73417,249.51523,95.5115,65.07261,5.786833,169.99141,907.77057,0.24020374
27,2021-07-28,대륜동,1163860.8,314382.22,41066.016,181552.66,80.93508,3416.8198,216.91534,2813.4536,177.76555,55.296886,835.7887,135.32877,294.204,85.76384,57.38024,8.008859,160.91216,867.4778,-0.29971963
28,2021-07-29,대륜동,1150612.5,317081.53,39516.938,183558.16,124.039024,2582.75,215.58826,2606.369,197.91458,52.925877,861.8201,152.69914,275.45007,105.720795,56.41034,7.8077126,196.268,869.5343,0.095517
29,2021-07-30,대륜동,1283585.8,312769.28,38731.06,186599.72,124.80645,2514.331,225.75496,2611.5767,190.34737,44.12191,950.63574,168.87215,295.5689,117.365234,44.571743,10.999714,191.85962,889.0345,0.8489522
30,2021-07-31,대륜동,1221046.4,317971.53,26173.992,192037.03,135.57037,2362.036,219.04651,2833.1243,261.6257,73.45928,987.43536,189.84929,317.73428,168.4834,63.157078,7.063054,189.20515,919.1027,-0.38346148
31,2021-08-01,대륜동,1323259.1,331368.12,24842.662,189507.44,173.8897,2438.2397,228.04517,2715.5168,189.51205,56.880745,972.6385,218.97267,245.6648,107.416954,81.69173,10.024702,207.38742,825.37054,-0.063021034
32,2021-08-02,대륜동,1443261.1,313115.34,41821.734,177955.34,141.27266,2799.877,241.96541,2794.339,173.37418,59.635227,888.8889,126.23703,244.80414,70.270454,21.328041,18.897306,174.34302,841.5066,-0.038029477
33,2021-08-03,대륜동,1306013.4,317671.1,43137.9,180009.42,97.185196,2453.2634,209.20753,2743.1826,191.02429,54.604946,848.21765,156.77467,260.82135,73.75159,55.427826,9.743357,211.75134,856.9627,-0.02999857
34,2021-08-04,대륜동,1177807.1,317354.3,41783.164,184159.0,96.380356,2680.232,190.85721,2578.343,207.14154,47.274178,814.4781,162.68983,278.49884,62.302605,55.539246,21.228262,153.6191,772.07166,0.3441574
35,2021-08-05,대륜동,1203582.5,319565.9,41648.875,190162.28,81.6104,2854.6396,170.9623,2534.3252,176.13689,41.84766,830.38666,163.52928,317.5087,86.976746,44.424618,11.6524515,161.43976,787.8813,0.22950843
36,2021-08-06,대륜동,1305163.2,311546.53,40133.66,196641.33,61.49288,2488.9893,190.84602,2662.8755,234.14545,52.608727,536.2497,185.22774,354.82593,104.32025,40.546806,10.947913,178.01445,904.57294,-0.0117991865
37,2021-08-07,대륜동,1159538.9,316747.3,25321.928,215084.31,160.48718,2726.4487,160.80043,2714.43,228.44669,57.11599,1068.7417,246.25166,276.10785,147.56563,82.05386,23.734753,230.35872,1010.0381,-0.048036724
38,2021-08-08,대륜동,1393845.4,329510.3,24075.102,211998.78,166.09612,2875.246,174.56094,2578.9783,235.75714,18.37919,1012.8105,224.47552,295.33524,110.88014,63.70104,10.158456,205.66083,850.84937,-0.4907512
39,2021-08-09,대륜동,1492051.2,321472.34,42463.844,204461.6,158.93294,2733.557,201.09328,2500.0598,215.01028,42.908634,890.79614,170.29459,323.0356,96.73957,38.477783,29.411274,171.08989,738.24207,0.022744313
40,2021-08-10,대륜동,1306959.0,310791.0,44207.793,202365.53,62.490093,2745.4126,189.11954,2648.554,166.19151,36.571312,919.58984,161.11333,236.60094,94.00795,53.77327,2.972784,193.3445,800.60114,-0.08649558
41,2021-08-11,대륜동,1295906.0,308481.7,42787.56,202991.78,106.603325,2594.009,203.79828,2623.615,153.78023,43.444252,799.65094,184.82924,280.4342,77.07814,49.645382,28.115019,186.41039,811.3531,0.07913742
42,2021-08-12,대륜동,1330035.8,312838.72,44302.926,201861.27,136.44795,2775.375,164.25471,2613.8855,166.9783,41.505684,951.5434,167.92754,290.6093,92.42618,51.805298,11.29144,172.87234,843.00433,-0.20596303
