,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,대정읍,3146569.2,444650.78,30701.19,152911.53,748.7815,10198.869,818.6869,16568.385,327.36487,82.339066,1294.4315,155.85431,410.18256,91.04961,83.958435,9.263514,197.02376,828.725,0.26473647
1,2021-07-02,대정읍,3209130.0,442617.5,26891.697,159728.39,683.8818,8981.585,977.9435,16036.793,311.38693,87.749374,1203.2952,159.70499,397.10995,90.67997,102.78896,7.3761177,278.73636,803.88794,-0.93005824
2,2021-07-03,대정읍,3670107.8,433166.53,22379.982,161159.33,674.1851,7554.1045,928.7043,14676.329,331.2467,128.59401,1324.9972,157.40273,432.16522,140.8362,122.46866,4.167838,243.39189,943.17255,0.2095881
3,2021-07-04,대정읍,3132193.0,440688.88,19862.357,157985.92,577.2146,6438.2197,979.59204,14586.536,303.69235,49.19917,1217.9094,174.773,392.49274,99.13389,102.942444,4.827979,243.21483,776.69025,-0.19858629
4,2021-07-05,대정읍,3647803.5,432435.75,28102.197,149440.77,733.9086,7965.266,882.78613,14422.56,327.36755,113.28383,1245.2865,124.14078,411.80374,102.09904,69.94103,4.406322,222.77484,814.98895,-0.15224901
5,2021-07-06,대정읍,3355742.8,433123.84,29513.459,155048.39,753.0257,8535.237,883.888,15023.657,320.80698,123.17725,1306.5807,144.13048,448.29434,83.35916,98.487595,3.0867739,224.4266,828.8926,-0.11591546
6,2021-07-07,대정읍,2976865.8,441290.44,28787.541,155153.97,769.61804,9319.666,907.4295,16163.5205,274.75342,84.40207,1264.6072,142.57513,447.1564,78.07915,112.362495,2.932382,179.69841,771.0356,-0.039194003
7,2021-07-08,대정읍,2984101.2,442278.34,29310.299,161869.8,695.23346,10156.84,880.2996,16556.572,307.1365,90.56537,1278.4905,142.68709,408.48257,79.359886,104.79095,8.099371,199.01035,791.34424,-0.19329473
8,2021-07-09,대정읍,3175786.8,435546.3,26110.459,159474.92,576.83563,7773.1523,1012.734,15947.116,333.35544,89.90645,1200.6205,151.96867,389.95636,93.11058,141.05116,7.6823945,307.9655,853.40576,-0.50119656
9,2021-07-10,대정읍,3557433.8,429397.72,21466.037,158531.86,582.0394,7195.991,949.1989,15274.726,381.0602,122.12362,1426.0382,157.75935,436.873,133.00195,140.84578,5.5696583,270.58307,1026.1427,0.36042508
