,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,도두동,503067.7,26864.053,4259.2812,58206.44,32.01401,1303.2906,-0.35163286,1346.619,39.734764,14.746288,186.14061,40.488106,51.441376,24.622162,7.35103,2.3393755,40.638348,199.318,0.6012007
1,2021-07-02,도두동,627947.3,26863.639,4507.6274,66779.28,53.936256,1685.078,0.041882664,1387.5945,32.587093,23.34241,213.50246,29.899422,46.482872,28.699629,5.8036118,1.1127994,31.297588,202.15448,-0.079567
2,2021-07-03,도두동,566632.06,26099.572,4136.039,69372.555,48.844414,1547.4214,0.028849108,1457.4032,38.891293,26.658,185.4761,34.27117,52.35183,25.944414,0.78640354,7.159668,41.259888,240.6666,-0.058482233
3,2021-07-04,도두동,565687.9,28811.697,3522.8472,70931.34,50.31883,1268.969,2.0503824,1557.87,37.18742,8.995394,225.27293,41.48614,82.309265,28.027992,11.931839,6.171291,53.152397,265.0012,-0.2767963
4,2021-07-05,도두동,708146.1,30282.29,3688.983,69194.445,72.09755,1408.832,0.09130085,1522.493,31.366385,11.031054,235.39005,57.308685,39.690166,13.870665,9.176384,5.601851,31.51654,198.98549,0.33705848
5,2021-07-06,도두동,644340.8,28341.656,5605.233,54945.05,34.18505,1283.7721,-0.9166729,1547.6189,40.67705,16.971977,242.41444,36.724068,70.59993,14.451188,7.3978753,4.0447135,42.886497,210.99448,-0.16464473
6,2021-07-07,도두동,557689.3,27936.871,5662.8237,50326.332,9.575201,1132.7463,-0.147623,1481.8195,46.84313,19.717754,210.75314,33.541313,78.44504,25.423513,5.0064545,4.349729,25.706808,244.76483,-0.07301429
7,2021-07-08,도두동,512255.28,28263.912,5436.4766,45899.316,11.885053,1071.7196,0.8628104,1554.551,46.50453,13.928899,203.92332,34.21484,61.242382,16.765123,8.511446,4.195859,31.43231,216.60083,0.36537677
8,2021-07-09,도두동,518721.9,28612.666,5617.5015,47112.074,20.872498,1293.3212,0.08237091,1568.6807,41.096798,21.770243,211.98419,25.359089,53.445232,24.11313,8.699785,3.4674783,29.488508,185.68678,0.23302314
9,2021-07-10,도두동,399466.16,27116.947,5407.9404,48993.637,17.828169,1347.6768,0.08248571,1598.6177,43.366447,20.90105,202.34985,31.772682,51.609543,17.179342,7.3783545,2.4593363,35.712303,204.20477,0.086849794
10,2021-07-11,도두동,568951.3,28037.016,4244.8315,57617.293,5.056723,1144.4901,1.3330514,1630.4691,42.445053,17.44006,242.70549,41.978195,59.88289,18.819958,8.52597,9.516455,58.947388,215.14578,-0.07591078
11,2021-07-12,도두동,684807.06,29782.93,3725.5515,61398.246,21.674946,1154.9406,-0.7066924,1575.0159,27.763306,10.399182,193.0307,60.964993,42.216225,19.042234,13.656646,5.0303664,32.051136,204.37093,0.14728205
12,2021-07-13,도두동,543006.3,27784.863,5360.757,54658.14,18.700489,965.93866,-0.59084296,1623.4587,26.09739,15.049374,230.76848,27.83797,65.35845,12.732838,6.5387125,6.1312275,37.34581,178.75624,0.03238285
