,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,성산읍,2262975.5,323858.47,26878.512,163860.39,231.64154,5056.932,176.74013,12732.348,83.346016,42.814594,648.87585,57.94442,279.9605,44.762062,9.341075,6.9696255,91.99598,496.73987,2.854331
1,2021-07-02,성산읍,2352704.2,325832.4,25025.39,179879.16,334.415,6408.548,184.47932,13541.566,92.91631,46.930237,567.55853,65.53909,279.4817,71.12353,14.079859,3.6922693,95.77704,534.96014,1.6688669
2,2021-07-03,성산읍,2178791.8,328714.0,21761.77,194961.28,266.60364,5493.1045,185.37823,13835.577,78.506546,34.11301,579.3797,80.967575,249.93074,70.50773,24.092152,5.1450863,95.27349,505.90427,-0.8331959
3,2021-07-04,성산읍,2072420.4,326395.38,19704.102,177492.31,230.43388,4782.465,199.54622,13955.464,75.846176,23.375118,606.9056,86.1958,227.0952,63.458847,18.038471,7.6475286,95.210945,428.9874,1.7977917
4,2021-07-05,성산읍,2183896.5,329134.06,25002.297,135885.73,163.12845,3965.0916,218.68529,14317.921,78.43908,32.31778,620.5097,51.317883,272.1519,37.476135,25.192455,8.240509,82.81523,432.0664,1.3008914
5,2021-07-06,성산읍,2205172.2,315742.06,26341.709,137607.33,90.09865,3783.8481,203.92563,12899.37,72.39402,39.43734,651.01556,50.560677,295.268,62.260918,12.993611,8.782128,83.29716,493.60617,1.2102816
6,2021-07-07,성산읍,2067287.6,309775.72,25827.545,151207.0,92.32244,4124.1597,184.79129,12241.879,86.80657,46.21928,620.74146,44.15894,278.65814,56.93026,26.086744,8.825059,96.309326,490.3768,0.1724071
7,2021-07-08,성산읍,2135482.8,313274.66,25033.768,156450.56,73.74495,4622.0747,187.63539,12814.415,95.99763,56.12852,724.7649,55.97495,290.82053,50.12447,9.8928795,4.9587736,96.30333,495.39148,0.10620132
8,2021-07-09,성산읍,2188294.5,318984.84,23247.02,168435.44,108.830444,4358.941,233.95708,13543.86,84.385475,52.8874,662.4232,62.01156,244.991,50.370865,7.5260487,5.0953484,119.82816,495.97702,0.8023025
9,2021-07-10,성산읍,2531553.8,315487.0,20345.666,196286.98,166.92204,4353.2783,293.50104,12300.29,78.95096,44.1874,646.0396,72.00292,280.10626,71.789635,15.139294,9.592655,88.978455,528.945,1.0490606
10,2021-07-11,성산읍,2316305.2,307188.03,18762.984,203288.08,161.40956,3454.3398,247.36069,10373.102,83.4743,40.13635,641.6339,86.00864,256.1169,64.61449,24.176476,5.114587,84.75468,530.0529,0.7660243
11,2021-07-12,성산읍,2203413.8,305504.9,23310.205,179654.05,163.57515,2783.3093,268.95126,9389.864,66.407135,51.766716,675.22375,73.26327,269.48495,43.237194,26.384983,-1.2273297,71.513916,509.5822,0.14438115
12,2021-07-13,성산읍,1923536.4,303837.75,25513.602,174090.16,216.38812,3622.674,283.92715,9207.144,81.99847,58.46411,671.7221,60.3761,311.71103,65.24811,18.041937,3.7062736,102.45738,511.1491,3.2323563
13,2021-07-14,성산읍,2153882.8,301746.4,25483.404,178352.02,192.42836,3673.3657,232.458,8803.347,66.17679,61.05658,597.5347,60.781513,301.0967,61.21034,11.507146,0.3699401,70.68971,527.28076,0.51689535
14,2021-07-15,성산읍,2140290.0,302746.2,26263.982,174546.5,104.09253,4233.125,238.74669,9080.012,66.94008,61.25513,627.63916,46.49033,272.28333,38.241646,33.797417,6.4011188,71.04763,538.28204,-0.16952977
15,2021-07-16,성산읍,1908277.1,302416.9,24792.582,189992.8,108.03447,4296.2437,258.41223,8744.652,101.22318,52.332424,630.27216,54.8558,260.53143,58.25976,17.968946,9.296831,82.47058,474.64517,-0.5010892
16,2021-07-17,성산읍,1922091.0,302111.56,21021.22,206907.38,94.76951,4954.285,264.01904,8998.052,93.62659,49.747147,661.08575,76.24518,272.42352,68.88257,10.882156,1.4127762,120.52276,502.3698,0.026893765
17,2021-07-18,성산읍,1863589.9,304105.38,18287.729,199530.27,52.089977,4090.3525,257.3365,9605.22,56.244007,36.989002,622.1489,102.824135,257.3609,72.81535,18.77023,12.528988,112.7382,530.8712,0.10080263
18,2021-07-19,성산읍,1800071.4,295776.88,25709.754,184648.0,121.001755,4963.282,293.5284,8956.259,78.55459,39.02348,679.7427,42.61792,314.45557,40.726555,6.45278,4.5122457,73.27649,512.8074,3.5734632
19,2021-07-20,성산읍,1709643.1,297289.12,26248.363,191494.44,80.16043,5214.997,288.57205,9242.479,72.083755,54.100094,567.3034,54.854572,265.4886,71.16967,25.973389,9.669396,66.30262,505.32697,0.038996413
20,2021-07-21,성산읍,1481624.2,303533.84,26140.53,192123.88,35.143692,5820.29,266.01346,9233.099,77.68315,44.977962,601.8503,75.20011,313.0126,38.4441,13.314651,1.3901954,88.21004,435.7001,0.32637113
21,2021-07-22,성산읍,1968650.6,309127.88,25940.424,196116.53,47.10288,5105.412,269.83112,9986.232,95.10146,38.999195,646.16895,77.64033,310.5095,49.207806,11.798361,4.1590753,67.56586,502.5438,0.14137
22,2021-07-23,성산읍,2572559.0,309643.2,22971.906,234846.16,113.365105,5657.381,246.47563,10171.264,102.273766,70.77281,609.9486,79.14017,305.37717,65.61421,24.804901,4.914226,97.02589,560.35706,4.966478
23,2021-07-24,성산읍,2174953.8,306050.47,20456.412,231024.94,26.615038,5069.9746,194.62013,9138.764,90.09598,36.6816,605.13556,102.08223,315.51328,54.059616,27.49181,13.762955,72.091484,486.9066,-0.23743212
24,2021-07-25,성산읍,2365935.0,307059.84,25843.627,215907.33,51.556416,3855.8977,272.53903,8997.979,102.96746,48.691936,617.8806,48.20766,325.0556,34.36111,15.463438,0.83895653,85.465866,474.7186,-0.18939584
25,2021-07-26,성산읍,2215092.0,305589.4,27079.176,213162.33,0.6393343,3650.0383,279.94962,8772.76,70.66304,26.819906,672.40765,53.61385,288.42474,60.172016,29.603462,4.4044433,16.28447,445.8776,-0.35868302
26,2021-07-27,성산읍,1967090.5,303690.03,26263.303,208231.25,43.144993,4242.5503,267.04614,9114.336,73.81232,40.244225,607.8251,39.038364,241.93315,53.387268,20.889135,9.294728,61.605267,468.9837,-0.04054621
27,2021-07-28,성산읍,2170025.8,305011.5,26390.305,224311.2,64.84887,5104.522,247.66351,9034.49,110.58375,33.984272,620.7336,38.577267,273.06006,25.563902,14.817844,5.6941967,100.09136,540.1013,-0.11455819
28,2021-07-29,성산읍,2404019.8,305100.84,26622.41,223871.23,55.141212,5279.7876,216.87857,9446.44,81.60415,65.29366,624.36127,65.73208,277.90955,42.209423,22.048098,5.829702,69.78633,572.08295,-0.49878284
29,2021-07-30,성산읍,2465010.5,308912.62,22735.697,249355.31,50.916702,5415.097,200.12242,9344.99,103.180824,50.445553,685.81647,79.49367,270.09656,46.208023,35.213108,5.3550305,98.619965,579.8784,0.22120312
30,2021-07-31,성산읍,1923433.2,318465.53,23016.137,225181.3,103.7794,4893.3657,168.87914,9287.694,86.67702,30.359438,574.773,75.1716,237.34576,75.65877,15.550581,0.98050207,96.25885,491.88245,0.21565616
31,2021-08-01,성산읍,2206083.2,324654.34,29003.027,184019.9,119.03555,4186.0576,125.063194,8910.8125,66.20035,45.33802,556.8263,59.81225,250.40718,58.210423,20.009958,0.16741723,54.957573,460.3583,0.070900545
32,2021-08-02,성산읍,2107424.8,321813.66,29498.162,197421.69,139.45291,5130.8833,133.8079,9367.234,103.791885,54.149147,641.97064,61.728508,244.73705,39.247192,25.17552,9.854509,64.353165,532.41656,4.2862964
33,2021-08-03,성산읍,1959686.8,320938.62,29974.123,203513.1,95.71933,6136.7314,140.32501,9288.038,63.726402,44.37388,583.17664,54.07948,244.84657,54.532074,16.82908,10.207573,46.52824,407.5799,0.6335142
34,2021-08-04,성산읍,2131967.2,316493.94,28701.197,209784.23,104.95407,6069.0513,146.75792,9078.894,88.08868,32.974472,660.85547,49.958683,235.77629,39.359344,9.811066,2.07069,87.71641,486.25058,-0.30745834
35,2021-08-05,성산읍,2085516.1,313570.12,28428.93,207942.3,63.657406,5420.0464,155.57642,9061.106,84.306335,54.905838,644.9499,71.103355,250.82553,46.150974,9.559056,7.9698763,88.157616,496.6703,-0.22135884
36,2021-08-06,성산읍,2177739.0,319771.9,23047.414,227004.3,82.525986,5907.272,165.46428,8880.051,115.23196,54.43058,643.8938,111.42668,254.97171,53.529636,19.681719,2.5520473,85.08852,525.96027,0.045615733
37,2021-08-07,성산읍,2038141.8,322225.53,21282.334,227574.22,82.80756,5790.774,117.26235,9377.534,67.32789,15.986374,603.1876,110.04649,253.33829,73.65282,12.249311,4.776142,77.89565,505.0903,0.68666995
38,2021-08-08,성산읍,1947042.5,318807.38,28477.445,209202.31,58.3485,6424.28,170.97029,9313.454,52.361282,55.15057,621.9678,72.83452,279.67447,38.29478,29.10273,6.6991897,58.185665,474.58633,0.31979918
39,2021-08-09,성산읍,1700609.0,312769.22,27782.537,203571.08,39.75275,5546.2935,151.69427,8924.379,70.01523,41.227623,638.00714,69.01166,257.00717,77.70101,9.86815,5.9701304,69.48731,508.37387,-0.14112428
40,2021-08-10,성산읍,1786598.8,313907.94,27517.1,209220.2,94.19737,5550.832,151.54361,8464.355,74.606316,56.62928,642.5422,77.21394,282.40717,76.43237,12.047746,4.1687207,54.78384,547.5648,-0.09441659
41,2021-08-11,성산읍,1977197.5,311687.75,27386.973,213710.95,100.30745,5551.268,191.19012,8738.607,72.11153,46.807003,667.0055,64.47782,271.7969,43.529667,22.714653,8.42325,73.46907,554.7005,-0.12801915
42,2021-08-12,성산읍,2006172.9,306706.66,27548.92,230876.39,166.38435,5804.66,216.61862,8659.457,99.32075,42.118214,583.7555,53.266968,246.1283,39.95658,9.059273,6.1273613,87.89599,501.5496,-0.24268806
43,2021-08-13,성산읍,2231292.5,311462.66,23116.027,266817.66,153.1173,6572.4575,181.77615,8551.836,103.402084,48.1953,603.9525,81.74098,217.98442,66.87165,35.965775,-0.53941816,121.65172,502.78653,-0.06498143
44,2021-08-14,성산읍,2217769.2,315932.22,20948.926,237400.42,72.407875,5503.037,160.78458,9307.098,92.09619,24.529795,614.68475,109.859375,269.77127,69.847176,5.6317277,4.8513436,96.928406,544.28674,3.0478764
45,2021-08-15,성산읍,2028544.2,313776.0,27007.635,208490.17,194.84842,4802.4907,185.2368,10053.722,63.33961,40.921883,609.89923,53.94749,272.43356,71.61,24.67008,4.4870214,52.114536,519.1263,-0.46211556
46,2021-08-16,성산읍,1832901.0,313587.62,26921.943,223116.4,192.90355,5974.1934,213.5604,10526.255,96.20013,48.257996,574.7926,55.450493,195.6169,42.474712,39.346535,0.69830686,97.880974,571.77454,0.32862043
47,2021-08-17,성산읍,1894756.8,314786.47,27394.111,219269.03,87.89721,8452.447,200.12009,11065.953,93.68005,50.452084,599.0168,57.983986,240.5839,36.940155,19.691,4.3635216,83.61866,515.1681,3.857934
