,Unnamed: 0,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,0,2021-07-01,아라동,4345753.5,1034529.75,105873.875,279090.78,182.80377,5017.3467,1213.1106,24995.676,907.75885,392.7028,2936.3328,805.6724,717.361,197.80942,95.01051,56.301266,557.6349,2306.1187,5.1640897
1,1,2021-07-02,아라동,3902727.5,1036852.4,81649.15,276916.0,166.71126,4692.229,1211.1143,25075.283,877.7767,371.24673,2856.8547,999.7654,752.1539,210.18698,144.91666,49.91603,617.56177,2494.874,0.6882634
2,2,2021-07-03,아라동,4352217.5,1031199.4,51740.05,249012.55,123.04951,4158.788,1138.4708,25092.43,777.09045,384.54288,2871.3706,959.4258,791.6888,236.06454,132.60542,59.530014,564.93835,2445.849,-0.59193337
3,3,2021-07-04,아라동,4399642.0,1061944.8,53604.11,232245.64,83.948494,3776.0117,1111.8708,25392.145,560.5915,289.681,2551.9795,885.6609,643.06976,173.63327,74.253624,41.481243,474.92407,1936.8234,0.023438409
4,4,2021-07-05,아라동,4547476.0,1026342.7,116858.59,271028.88,132.98918,3706.358,1250.2146,25964.89,626.9742,300.35623,2454.8184,656.4081,720.97626,130.79819,75.342255,32.881523,354.14575,2216.9084,5.0653863
5,5,2021-07-06,아라동,3923375.8,1032588.06,115387.09,286708.97,153.15279,4355.4023,1290.6627,26260.643,628.347,302.54462,2495.0974,781.37354,713.6473,231.84901,86.1363,23.915195,431.16653,2213.8665,2.453165
6,6,2021-07-07,아라동,2583178.2,1034815.8,99541.99,261265.95,145.17506,4106.1577,1202.2659,26407.488,544.1171,249.31725,2125.8367,424.3199,562.53546,109.03851,52.233192,22.530787,357.10022,1643.3217,0.98776186
7,7,2021-07-08,아라동,4098637.8,1038355.94,98774.44,260886.64,180.56075,4539.3667,1192.9788,25053.328,915.7671,429.02243,3039.8413,681.7283,731.4123,154.37323,92.59258,48.960773,596.0235,2013.0051,2.2538536
8,8,2021-07-09,아라동,3763366.5,1029413.1,71912.91,258786.39,161.82188,4300.8267,1143.0485,24780.426,912.05133,391.72638,2960.427,911.4941,720.1227,189.75468,142.17885,54.925243,656.32275,2285.158,-0.33238047
9,9,2021-07-10,아라동,4156573.0,1013038.94,55928.816,246047.98,123.20391,4267.831,1034.3816,24757.967,748.0137,365.82727,2756.9893,883.4554,759.3034,224.0886,127.97001,59.886925,551.1222,2276.3408,-0.6830487
10,10,2021-07-11,아라동,4191525.0,1063663.6,51466.434,229188.75,81.16146,3955.307,1060.7781,24885.61,541.8123,276.26913,2487.6865,908.5216,610.5923,167.83653,67.67564,37.179283,462.9147,1794.4982,0.541313
