,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,안덕면,913887.44,370046.78,53957.727,190098.7,423.63864,6317.749,2110.9019,14473.912,121.89884,55.04556,392.6374,61.95965,257.07593,69.32765,22.627525,6.0613403,102.48131,507.53497,1.1565633
1,2021-07-02,안덕면,1122086.8,367313.44,54638.105,200824.27,483.20822,6452.408,2179.2957,13936.522,114.01145,58.33897,380.35162,82.97488,299.69852,65.20472,35.019283,6.7506886,123.639435,565.87695,0.8609383
2,2021-07-03,안덕면,1194159.6,357127.22,41195.77,225138.12,376.05624,6828.4087,1943.0251,13372.259,152.02405,50.155056,498.99298,72.21919,319.44815,57.477734,40.08047,4.853509,134.81151,617.9393,-0.41494983
3,2021-07-04,안덕면,1203311.8,364954.38,37903.594,228761.94,374.54788,6262.766,1972.8916,13518.029,113.987236,32.861176,435.46304,88.58318,312.4265,61.296356,44.414337,3.462088,142.83842,542.5271,0.8472352
4,2021-07-05,안덕면,1026492.8,367959.8,51701.95,206652.23,494.64694,5901.4927,1977.6113,14026.078,106.67883,37.260975,457.05988,56.93867,319.88028,49.410927,31.507336,4.2389393,107.298676,496.20602,0.8500051
5,2021-07-06,안덕면,1214640.9,373550.38,56496.098,203474.78,420.82758,4527.665,2112.392,14229.633,120.901085,19.60089,429.27893,66.70599,315.3133,52.51332,30.719378,10.543491,122.0041,504.03534,0.13861614
6,2021-07-07,안덕면,1035697.75,372552.06,56663.246,201759.52,391.7617,5344.757,2117.182,13633.722,118.075775,35.996254,403.2025,73.194084,308.0646,62.278473,42.27477,9.72437,94.87746,516.39075,0.7703109
7,2021-07-08,안덕면,1072925.8,376484.0,58757.035,200476.66,362.0571,5478.06,2214.3506,13890.192,117.3644,44.810734,406.15323,73.11585,274.35327,70.66376,29.229105,7.5758557,100.54363,510.57452,0.47355515
8,2021-07-09,안덕면,1085066.6,375866.1,57914.508,208197.84,370.45255,5825.3037,2244.777,13781.87,105.054825,39.03276,326.09146,75.713554,301.5713,61.25045,30.73104,13.192729,118.379524,554.4283,0.33147845
9,2021-07-10,안덕면,1181515.8,363397.38,43564.117,237901.4,342.1734,5888.951,2007.4768,13151.229,146.84872,48.70791,529.2302,83.93864,312.98154,70.16064,37.714195,16.015,144.16542,605.8593,0.402368
10,2021-07-11,안덕면,1244548.1,369971.8,39198.305,233175.1,279.1558,5757.6606,2096.3062,13758.058,106.36729,33.694984,397.9172,96.53761,286.7582,63.295155,42.723713,7.307598,141.0136,491.60345,0.8096551
11,2021-07-12,안덕면,942800.8,370783.25,48994.965,203574.06,345.1667,7215.2676,2180.344,14663.771,91.91735,45.46075,437.45886,64.42079,328.86298,56.864857,23.58535,2.7056825,93.685585,465.24155,0.34295654
12,2021-07-13,안덕면,1124201.1,371233.72,49182.855,198780.81,338.40103,6983.3354,2299.0356,14657.699,119.118675,39.650284,428.97122,85.92193,318.02872,37.35821,23.543709,4.916524,92.7771,472.86295,0.114502534
13,2021-07-14,안덕면,1002548.4,361189.16,47733.996,190171.62,303.77792,6285.4097,2249.2656,14472.162,89.85846,32.68953,442.91022,91.81651,325.93445,56.11124,26.207886,3.1580935,101.41954,474.52438,0.46623832
14,2021-07-15,안덕면,1031043.75,356258.25,46236.113,188689.73,357.69156,6177.391,2230.3867,13994.982,136.58278,56.580906,391.60684,80.19784,328.77625,73.33725,24.330544,15.756067,112.7994,476.78226,0.4335823
15,2021-07-16,안덕면,1018938.75,349776.2,46408.6,191022.06,401.26358,6900.574,2145.8132,13141.879,125.04587,50.837017,384.30322,63.947548,301.3036,53.535168,26.008894,7.1498923,98.27993,519.2261,-0.13971698
16,2021-07-17,안덕면,1105823.6,341562.03,36559.85,210331.83,384.86646,8989.97,2122.03,12643.013,134.04515,43.230206,423.81317,77.07598,293.12103,65.44763,28.080896,3.9824476,101.724464,521.30164,-0.48238966
17,2021-07-18,안덕면,1064206.8,345783.88,33039.703,198864.92,372.70633,6803.435,1991.2487,12739.146,99.16021,29.389656,342.33936,96.177895,239.37341,46.816284,23.998917,0.09836142,102.793274,355.68976,0.75311214
18,2021-07-19,안덕면,1043976.4,346334.78,40324.85,175628.47,407.35324,5282.8506,1951.1395,12368.018,115.91154,28.660334,422.7701,78.68801,253.37228,44.412827,20.605074,8.616819,108.39291,348.32263,0.5549108
19,2021-07-20,안덕면,1085726.6,337975.34,43480.895,174487.62,393.24777,6088.0117,1948.0381,12398.153,119.18814,39.13021,469.93625,47.663025,278.51462,52.339993,16.198496,8.709804,96.61315,453.73993,0.06739527
20,2021-07-21,안덕면,962523.25,335888.12,43335.73,176579.97,471.59512,7329.7124,2016.8918,12313.592,136.26894,39.395977,435.1476,68.31706,326.4971,44.104027,16.336002,0.8908279,109.79891,469.7058,0.048848353
21,2021-07-22,안덕면,1083965.9,337671.75,42464.28,191776.36,504.33752,11802.644,2014.4594,12307.262,208.28508,63.03106,568.73016,57.662178,378.58398,74.674515,22.4158,16.771177,189.76836,489.60706,-0.07775072
22,2021-07-23,안덕면,1101506.5,343957.47,36550.02,225596.38,482.2805,9368.999,1982.9718,12538.839,144.93999,46.577774,471.3218,105.812096,336.5398,57.184628,46.408585,14.468774,167.08632,414.86407,0.36506546
23,2021-07-24,안덕면,1125371.8,343308.06,33617.13,222269.81,519.9053,6450.5005,2017.4613,12825.37,114.37478,51.411594,362.97504,114.4155,333.4254,63.24751,21.87266,6.6455727,98.10455,415.6624,0.04473973
24,2021-07-25,안덕면,1101849.5,346059.5,32281.514,195015.89,485.5725,5238.5483,1973.0427,13041.329,107.797,40.46022,346.1591,87.36225,286.85336,62.47661,21.082714,2.3350089,95.55051,376.37534,0.47876513
25,2021-07-26,안덕면,1099974.9,343681.4,41430.99,168519.58,436.9896,5662.474,1959.1995,12830.488,125.983665,29.007666,429.44128,58.312145,315.76147,62.104282,14.273913,5.9703493,97.06041,403.18237,0.52124906
26,2021-07-27,안덕면,1087223.0,342950.03,43562.65,178123.05,450.7502,6914.3433,2059.3784,13469.74,122.33858,27.90516,439.72452,67.15922,325.47006,45.929405,18.634518,4.5852547,101.86366,469.7564,-0.094880275
27,2021-07-28,안덕면,730413.5,344151.75,41378.28,163879.75,444.54132,8289.274,2055.0664,13757.863,136.49298,41.909473,432.6003,66.48208,298.67664,43.21734,16.165855,1.0600013,113.48367,435.03687,0.2281344
28,2021-07-29,안덕면,738290.5,349936.84,37730.43,168322.66,538.0344,8476.157,2007.997,13564.373,156.22456,45.584316,399.65118,73.01321,312.92297,50.70231,17.442242,5.6856146,139.4256,422.2894,0.36870623
29,2021-07-30,안덕면,875864.06,347872.3,32473.371,172374.0,479.8543,8932.5205,1925.6199,13609.998,154.92307,44.317616,444.09964,79.79155,328.65707,54.450268,38.73796,5.674418,137.4927,457.312,-0.44287223
30,2021-07-31,안덕면,889177.5,344062.4,31133.145,174548.89,454.5547,6733.529,1858.784,13604.908,124.13322,35.217945,403.6419,83.29414,302.21838,56.98145,23.465805,3.0767014,111.49083,401.0417,0.3366021
31,2021-08-01,안덕면,927844.8,343310.88,37491.742,150908.6,498.34662,5989.8315,1869.009,13318.687,135.86685,37.423073,463.31125,64.326996,317.4977,43.842064,19.265896,8.079826,103.147385,411.2415,0.9671998
32,2021-08-02,안덕면,956653.06,336645.88,39833.13,143818.19,485.66174,6214.0293,1877.0925,13631.02,114.15791,35.653996,421.2968,46.521095,278.3924,45.150806,15.457162,4.893781,107.053894,444.87378,-0.050423257
33,2021-08-03,안덕면,945438.44,336261.72,39628.1,146940.39,509.95462,7786.566,1913.9387,13523.987,135.97972,34.25369,415.18372,55.81537,321.92578,52.110622,25.027737,1.9797736,119.605644,454.74936,-0.27346107
34,2021-08-04,안덕면,1003229.0,334110.12,38224.64,151867.23,493.6234,8804.498,1818.7773,13457.249,149.18214,48.574944,455.05212,50.821766,309.91046,58.79705,24.17592,4.3463106,118.115105,476.634,-0.3774624
35,2021-08-05,안덕면,1142265.9,335563.03,36901.746,151696.14,500.21478,8532.693,1724.7517,13857.565,151.58023,47.989117,417.49216,57.655396,344.63242,54.10896,18.82936,10.187447,136.92204,477.65976,0.09559944
36,2021-08-06,안덕면,1027064.8,331353.0,29810.111,179862.05,498.11047,9882.269,1746.0103,14070.896,138.91379,25.340427,417.02023,60.99806,331.2093,54.965565,44.568054,9.040491,129.44438,483.15897,-0.7386631
37,2021-08-07,안덕면,1097307.5,332606.16,24704.648,172599.14,432.79163,9229.377,1651.7358,13895.789,109.08388,31.322601,363.37616,61.435448,303.5504,59.41254,20.51505,3.378614,124.88323,452.29492,0.1900962
38,2021-08-08,안덕면,1071321.6,333637.66,37833.055,141353.9,456.85318,8316.737,1665.6034,14237.508,131.48274,41.72227,442.79684,39.8049,324.78397,46.87015,23.625227,4.3876767,90.69406,466.89124,0.38960308
39,2021-08-09,안덕면,1130850.4,333668.78,37297.28,123881.164,486.39587,8046.1963,1669.3497,15492.768,113.25693,31.833954,370.53787,27.536625,280.79965,29.54029,16.780634,1.0164495,99.3304,446.4321,-0.63320756
40,2021-08-10,안덕면,1053264.8,324542.4,37318.81,146476.55,406.98746,8309.346,1538.2444,14749.443,119.43196,27.145777,416.3795,36.192966,282.7305,64.77485,24.860037,1.224542,117.39277,460.49026,-0.012979172
41,2021-08-11,안덕면,1033937.4,325961.7,34715.805,148375.4,443.78015,9202.256,1546.1215,14180.2705,125.28144,45.734035,372.1321,44.207092,307.3662,63.851547,17.632318,3.941565,114.014465,465.13702,-0.46497586
42,2021-08-12,안덕면,1067306.1,324799.03,34934.81,147817.3,493.811,8299.913,1561.7015,14147.857,122.046814,29.905281,302.23886,41.107628,284.98325,42.60112,34.18685,8.218161,140.56914,465.7082,-0.15441793
43,2021-08-13,안덕면,1066256.5,317576.53,27113.43,158122.39,513.4249,7944.002,1572.2391,14088.011,119.43544,35.634125,395.09653,33.534,288.21017,64.202126,29.419363,7.932778,120.807686,560.1094,-0.6146667
44,2021-08-14,안덕면,1063489.0,327004.97,24168.814,149687.56,444.03265,7093.6777,1598.8635,14161.876,115.66828,32.58703,389.6912,43.88345,284.47736,68.272385,25.254576,1.7787578,136.25967,462.5766,0.8033867
45,2021-08-15,안덕면,1045607.2,328082.4,36512.152,132158.89,413.779,6921.4507,1546.087,14139.854,116.053,47.451683,444.971,27.132654,311.08408,45.556904,19.169664,4.5368843,90.78939,473.9901,0.5558251
46,2021-08-16,안덕면,1182156.6,330332.75,35362.586,129227.61,450.28043,6613.846,1621.5957,14790.516,101.17637,32.457794,390.28043,25.087732,307.52884,42.46422,11.995727,2.3848023,116.23874,514.03815,-0.29625568
47,2021-08-17,안덕면,1059545.6,323476.97,33747.758,143656.86,444.24573,8578.001,1572.5854,14261.749,142.04024,29.645756,414.99454,32.2824,305.87906,65.75341,38.598164,0.93229216,120.287575,502.35352,-0.3217135
48,2021-08-18,안덕면,1046796.8,323804.34,35045.5,146050.88,440.43475,8668.463,1527.4083,13988.202,119.38464,50.25619,420.19388,37.282887,279.59366,59.768845,13.872657,3.8284118,101.88113,481.73236,-0.10746714
49,2021-08-19,안덕면,1144467.0,324174.66,33591.453,146640.58,436.87372,9288.725,1494.3611,14346.846,128.9296,43.96726,388.92062,44.44472,321.33722,46.970608,24.46564,8.229612,132.69238,489.2068,0.17674938
