,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,연동,6545959.5,1066744.2,121882.39,469477.16,342.07202,12651.782,1253.5582,52860.625,841.8338,250.9347,3848.9648,1374.9005,1024.5013,300.05768,133.63498,122.254555,537.48755,3811.1294,4.7879505
1,2021-07-02,연동,6022808.0,1038540.9,122899.234,503796.66,491.73416,12913.6,1202.3027,51489.04,825.9748,269.55856,3887.0747,1437.5613,1027.8429,371.41086,142.07262,144.66916,517.9269,4213.8516,2.0854788
2,2021-07-03,연동,6374226.0,1056568.8,76975.05,480330.38,592.7468,11459.843,1230.7031,51632.727,881.978,312.81314,4283.681,1628.6785,1142.8688,423.76382,152.68146,131.65898,590.13,4484.106,2.5251489
3,2021-07-04,연동,6979907.0,1081499.4,64686.832,456238.5,638.056,10970.948,1235.1486,52683.035,776.2525,213.16304,4184.0127,1692.2732,1041.133,449.28015,159.93382,111.29966,553.7082,4066.0042,5.4259915
4,2021-07-05,연동,6130202.5,1069239.9,115141.72,497875.7,574.46954,12207.174,1196.6981,53247.293,737.6693,216.27565,3716.0305,1326.8262,964.1601,281.6318,97.31372,93.05507,427.3289,3677.8406,1.5848949
5,2021-07-06,연동,5844818.5,1049441.8,123224.25,509019.62,555.4384,12350.026,1133.9412,53191.94,800.9974,264.96927,3623.213,1181.4147,939.46826,339.86383,110.277176,110.475044,446.00754,3935.9502,2.0694587
6,2021-07-07,연동,5934795.0,1059007.2,120149.34,523027.28,556.2008,12104.709,1138.4541,53328.12,819.7436,265.08072,3580.8616,1288.7644,993.172,347.6663,127.225266,112.17688,448.2951,3984.521,3.2961118
7,2021-07-08,연동,6409676.5,1053658.1,122879.945,529153.0,482.59705,12860.683,1107.7947,53237.39,771.76685,240.59708,3387.7312,1217.8933,903.86475,289.68954,117.04455,105.94384,418.88644,3870.8708,-0.3168103
8,2021-07-09,연동,6331271.5,1044389.44,123325.99,533104.7,467.27643,13104.293,1156.9612,53367.89,789.07556,244.39723,3348.808,1322.5498,934.9053,353.35037,125.48465,129.57033,481.13736,4122.666,4.4270754
9,2021-07-10,연동,6565598.0,1057168.5,78312.58,514341.9,523.26715,11983.12,1175.553,53062.34,888.8509,266.48294,4218.694,1587.4547,1019.1507,398.55356,190.10048,132.30478,624.1276,4431.3174,10.530275
10,2021-07-11,연동,7090314.5,1102334.0,63018.23,487191.0,551.911,12736.117,1214.5708,54723.176,723.0506,169.58174,3933.6672,1759.3849,927.54407,425.42575,160.60364,105.89904,618.39343,3767.7861,2.3103426
11,2021-07-12,연동,6491066.0,1051398.1,125233.52,537262.25,527.87036,14241.746,1150.6917,55335.94,768.22015,212.33115,3637.9631,1137.8151,859.5276,273.02658,127.094864,85.20752,462.46268,3632.3843,3.0664988
12,2021-07-13,연동,6456423.5,1020353.75,125040.22,548214.4,514.4499,14791.484,984.29095,53738.63,782.90393,240.65585,3548.2036,990.93976,831.67725,373.4643,129.14076,109.19467,583.7067,3814.237,0.39971143
13,2021-07-14,연동,6485075.0,1047666.2,124165.73,559714.1,506.172,14226.166,1046.3524,54532.5,717.5392,226.95332,3531.0896,1189.0492,849.6846,291.05493,133.29846,126.62825,524.25653,3579.2915,2.5051632
14,2021-07-15,연동,6381805.5,1054863.1,130345.1,550274.44,551.6047,15160.088,1036.7637,54598.266,656.9828,202.7339,3279.4172,1108.4357,741.1804,257.8296,101.07501,88.22104,446.46265,3370.9224,-1.210623
15,2021-07-16,연동,6691276.0,1040633.9,129779.91,540078.44,601.8883,14546.467,1092.6227,54673.46,724.47595,233.51907,3603.2478,1177.2522,822.31903,376.91876,93.64805,119.25956,568.20056,3793.6282,0.73705673
16,2021-07-17,연동,6417251.5,1057847.0,82359.664,501543.0,600.768,13895.753,1134.1112,54292.83,776.85925,250.41626,3835.3098,1417.3651,991.71985,382.9293,152.34418,128.4772,658.94507,4097.666,5.9382463
17,2021-07-18,연동,6516141.0,1131800.2,60631.17,465283.4,698.2925,13598.347,1214.4517,55502.25,622.16174,146.41737,3516.5247,1753.0356,866.68225,310.59982,127.855576,82.1415,561.281,3095.7727,-1.9653025
18,2021-07-19,연동,6792069.0,1039270.4,117506.12,502814.28,644.0133,14634.31,1071.0593,51636.926,757.0346,200.37987,3696.6785,1127.5883,891.7111,278.29727,101.08938,100.12574,439.27866,3673.1128,0.77354074
19,2021-07-20,연동,6199169.5,1029702.2,123843.74,499895.84,589.58954,14668.459,1027.2516,51610.703,748.4984,232.4344,3702.1968,1130.1941,876.3885,304.03717,118.86459,80.6545,429.7167,3691.9126,5.5165334
20,2021-07-21,연동,6014048.0,1038494.6,125242.24,508915.56,575.4448,15042.629,1029.3141,52667.4,758.0283,220.987,3602.9688,1127.5358,922.3092,355.69446,122.52764,58.01466,480.4825,3699.3289,3.7584102
21,2021-07-22,연동,5922918.5,1037371.44,125410.36,508417.22,518.5052,15805.406,1024.8403,52657.28,797.0516,217.79533,3626.152,1165.679,943.25433,337.8054,114.766396,82.433395,507.57675,3753.686,-0.2913186
22,2021-07-23,연동,5675985.0,1032962.7,124044.945,511010.25,455.9931,15736.86,1068.7294,52453.586,839.07355,238.91563,3794.8333,1389.0975,943.77606,339.3374,114.932625,139.94237,521.24084,3924.699,0.78505784
23,2021-07-24,연동,6133093.5,1064622.2,74653.9,472105.38,481.03586,15514.978,1105.6798,52793.27,894.654,273.8313,3644.0452,1569.412,1171.1157,379.2768,138.85458,111.58895,691.0882,4080.098,0.49729437
24,2021-07-25,연동,7149825.5,1095900.9,66680.43,437500.84,498.2757,14864.321,1178.111,53277.81,759.3814,163.82576,3799.8337,1690.3333,1028.5812,424.09744,116.10313,77.89649,622.5321,3471.393,8.192484
