,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,오라동,1898109.0,298731.97,38183.13,264645.8,96.447815,3182.8232,24.638424,2460.2769,223.37402,97.13389,1222.9714,245.4589,440.98068,121.464584,39.5716,29.073322,196.96913,1287.1716,-0.18862188
1,2021-07-02,오라동,1793450.5,291291.84,38252.348,266234.12,120.51646,3168.6904,11.8316345,2568.3132,259.59482,105.634895,1182.4963,283.29193,445.6535,137.28032,40.621517,40.911255,234.02722,1424.0018,0.6738182
2,2021-07-03,오라동,2122286.8,315554.47,27041.443,247236.78,104.60575,3329.6194,29.614729,2705.2295,268.38782,92.699455,1277.7068,332.28207,461.18692,156.75732,46.025375,31.632563,270.1392,1346.1134,0.004543662
3,2021-07-04,오라동,2379026.0,330860.66,24334.93,233578.7,101.532394,3213.545,45.175484,2845.988,227.32082,81.390564,1277.8022,336.81058,448.40543,125.49362,37.43658,20.038473,237.47379,1132.4017,0.8187044
4,2021-07-05,오라동,2119370.5,304117.75,37830.914,254462.02,82.99405,3161.78,35.27943,2765.4316,237.27388,81.36691,1199.2557,213.57849,416.00388,93.39689,27.986519,15.629478,188.81741,1147.2946,0.49694896
5,2021-07-06,오라동,1997370.6,297970.56,38604.105,253978.94,103.18791,3387.5024,31.866138,2752.9524,239.31235,98.10795,1197.2756,204.09029,398.7823,105.11599,38.13666,15.47235,180.97948,1231.5669,0.017096624
6,2021-07-07,오라동,1831233.2,296258.7,38816.746,256242.55,105.769135,3280.586,28.332888,2493.5032,231.86617,81.812515,1201.9197,241.18549,436.11407,119.34358,29.215206,30.211945,201.25212,1299.9056,-0.7385659
7,2021-07-08,오라동,1959897.9,298280.2,38913.973,260702.45,138.19371,3251.0361,32.363197,2614.5852,222.14856,92.98093,1217.3062,239.69482,450.50946,124.77786,39.366116,32.208122,190.87828,1342.5107,-0.6677766
8,2021-07-09,오라동,1811752.9,295487.2,38719.816,259325.05,137.27458,3230.7495,24.179226,2541.8062,255.76163,104.909096,1137.9022,266.16544,438.9391,116.60174,39.511227,27.67924,229.43689,1378.8566,1.5148108
9,2021-07-10,오라동,2098378.8,316357.75,27049.627,246967.16,112.90087,3562.215,30.279228,2733.2617,268.7569,90.47224,1280.106,322.45767,460.7326,158.61855,46.0356,30.332794,285.4332,1312.1404,-0.06778702
10,2021-07-11,오라동,2346194.2,330850.4,24098.361,231346.88,98.500374,3199.5469,33.634106,2893.4749,228.13754,78.11179,1272.9156,331.4572,441.89902,130.08379,43.357914,20.1382,224.22168,1101.3627,1.1998949
11,2021-07-12,오라동,2080327.6,305085.6,37736.61,252654.86,92.20295,3277.582,34.181675,2741.5198,237.42433,72.38293,1177.95,202.6553,409.8768,95.21324,30.22973,17.880053,195.14151,1129.8151,0.35085195
12,2021-07-13,오라동,1964403.1,296530.4,38551.105,253787.12,117.7583,3521.2773,33.849056,2783.0007,235.9603,85.45852,1188.4421,173.32361,405.04214,104.41015,36.490406,24.246105,184.50262,1216.0931,-0.23276255
13,2021-07-14,오라동,1896448.5,290011.1,39160.47,253706.23,98.42752,3245.2576,28.634068,2471.5044,242.3026,94.12934,1230.1016,230.36865,459.2261,124.97485,33.067146,35.62994,201.26826,1334.7745,-0.46362942
14,2021-07-15,오라동,1861439.9,292986.6,38352.277,258053.7,93.970764,3080.415,29.938337,2580.4172,206.74352,80.04737,1128.6735,209.73361,408.9756,116.70741,33.834606,35.087105,189.64499,1298.628,-0.42379862
15,2021-07-16,오라동,1790788.8,288701.56,38466.234,253310.44,122.04063,2935.4,30.439407,2452.448,249.4167,96.1604,1091.5355,242.88936,411.62592,99.73957,37.22164,35.450397,213.79796,1390.8922,2.165969
