,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,외도동,3341325.8,318023.97,10990.749,107721.58,110.99064,1699.9146,24.963623,3054.5803,384.0027,119.1499,2200.7078,513.05396,572.51434,211.37064,69.1685,26.4581,332.99164,1581.884,-1.9683102
1,2021-07-02,외도동,3018506.8,294858.75,14618.589,111001.86,117.42165,1788.2251,35.448162,3012.0544,415.17203,124.61599,2243.8464,378.3432,568.6447,121.836945,55.139915,23.64145,255.93408,1539.9441,-1.1448724
2,2021-07-03,외도동,3010871.0,287382.62,14672.163,110139.07,94.76647,1728.7655,31.704887,3083.3164,453.21924,166.0721,2305.751,379.94025,694.99097,158.64125,49.16158,22.929512,321.49707,1548.5503,-0.76149946
3,2021-07-04,외도동,3189459.2,287141.6,13656.754,111963.78,136.40407,1748.0269,33.23183,3019.352,527.9039,138.89116,2483.5706,334.25516,829.8187,136.52148,66.528564,38.74134,269.96814,1336.0559,-0.7588176
4,2021-07-05,외도동,2915594.2,296631.88,12616.046,111645.77,144.54626,1661.4913,25.102694,3149.8381,358.42484,91.33557,2063.0168,344.4339,517.5737,60.03858,46.723312,28.41002,256.5256,938.05225,-1.1976024
5,2021-07-06,외도동,3120233.2,300276.03,13134.907,105771.33,123.76828,1609.101,16.750599,3187.121,340.94583,87.33839,1963.7313,432.16565,458.02582,98.52316,64.214165,25.744133,286.9913,1240.0184,-0.7518066
6,2021-07-07,외도동,3378827.2,308718.88,12495.698,109226.72,116.15777,1542.1887,14.1244545,3246.165,385.09082,95.57611,2136.9094,550.6494,527.06305,190.16704,66.26378,41.159843,361.51428,1545.2393,-0.9426827
7,2021-07-08,외도동,3449574.8,327606.56,11074.351,107804.18,89.68217,1443.3114,20.604351,3290.5898,403.60794,85.23078,2146.023,576.6743,520.8706,228.64653,58.480385,30.652822,355.54294,1422.782,-0.6279504
8,2021-07-09,외도동,3402572.5,327909.53,12508.338,99687.04,33.17623,1283.4462,21.40938,3453.0469,369.5531,80.39818,2108.5295,484.6747,481.28394,185.3187,57.057415,15.327435,339.05795,1297.9707,1.2788004
9,2021-07-10,외도동,3131791.2,297514.38,15124.037,99153.695,29.486574,1577.1559,17.906656,3342.6697,389.48883,68.81131,2062.1636,370.69278,419.12643,146.01547,54.1834,21.14133,267.85873,1445.0349,0.9251336
