,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,표선면,1035622.8,247476.2,23362.797,102674.65,52.611393,1951.7327,171.49431,5781.099,92.42188,47.461334,450.33057,69.88878,240.1751,37.70172,13.127181,8.294006,88.61257,409.45465,-0.089022405
1,2021-07-02,표선면,973790.25,242242.86,25812.814,108582.945,57.43251,1832.935,150.68567,5899.716,78.64544,46.54667,428.2931,49.790333,259.4754,39.555622,12.339939,12.618439,59.55217,454.20154,0.17560212
2,2021-07-03,표선면,1028842.75,241124.38,17793.719,124457.57,81.50656,2544.1929,155.91428,5717.3193,88.316376,60.471527,426.44077,69.30228,219.73357,54.363605,36.883324,8.578183,84.92432,427.07193,0.1232427
3,2021-07-04,표선면,971732.6,245141.11,17527.6,124909.766,117.93943,2283.338,168.87036,5898.627,58.98623,44.31684,373.16852,70.889626,225.8767,39.478676,9.036931,4.3917027,90.89316,392.3636,0.43660676
4,2021-07-05,표선면,1007667.7,243332.39,25032.443,112833.56,53.834137,1861.9617,162.9525,6033.139,75.02346,58.34432,403.70584,57.738804,261.4795,32.09822,11.088466,12.276721,59.49622,452.00278,0.1233563
5,2021-07-06,표선면,892326.6,242889.22,25903.943,107874.33,39.132374,1592.2677,148.02724,5730.515,85.37792,47.961765,397.22958,68.20561,215.53424,46.7562,13.837663,10.152324,90.67468,484.33105,-0.51638114
6,2021-07-07,표선면,919081.0,239527.44,24205.254,101670.28,72.96192,1689.8408,174.78342,5738.5063,57.596935,49.31183,403.0223,48.976604,222.67764,39.328194,23.95048,8.025536,60.221104,429.33728,0.24750707
7,2021-07-08,표선면,998751.8,246018.45,23736.072,94928.01,64.82571,1592.8389,176.53873,5700.664,88.73873,59.765347,386.1012,61.769474,223.30634,42.541546,19.117306,5.946619,79.19155,372.2087,0.24921502
8,2021-07-09,표선면,969584.8,241796.55,24716.5,102510.125,70.416176,1915.4989,160.03572,5715.3574,78.40225,45.57446,373.81598,55.71682,255.13574,35.1991,9.480282,8.954678,73.777565,397.99033,0.024282373
9,2021-07-10,표선면,1074435.8,241730.06,17861.893,122035.47,74.004135,2270.9512,158.8268,5655.85,93.52563,55.699787,435.984,74.20184,220.81439,51.234974,31.884203,7.2321987,74.78097,404.83154,0.28910515
10,2021-07-11,표선면,1034646.75,244369.38,16853.1,132521.94,136.13948,2581.8145,160.91429,5620.6455,63.201653,50.05767,401.2992,75.290474,220.1957,41.456768,15.031185,4.9266067,89.736,424.98987,-0.07379595
11,2021-07-12,표선면,937370.6,241773.44,24390.77,115506.055,60.70929,2424.1506,165.73442,5797.394,64.87538,47.339542,373.58243,50.26385,257.09494,41.378284,5.558465,5.512622,57.391983,382.09006,0.35142636
12,2021-07-13,표선면,929347.9,236035.44,25057.074,111760.695,28.23689,2207.9827,166.44759,5703.3013,93.87964,50.498825,348.37115,58.97744,225.10165,51.62744,14.054769,6.349145,82.62331,407.80597,0.12024975
13,2021-07-14,표선면,940751.25,238304.22,23466.459,102757.6,50.956013,2087.0552,175.14368,5640.716,67.027374,48.58713,361.504,54.535038,202.18991,33.618793,21.45089,7.1615124,66.52421,412.13403,1.0812261
14,2021-07-15,표선면,1111329.2,240205.28,23043.518,99932.805,70.62351,1841.7124,179.75206,5760.0366,98.329865,54.998966,405.97968,55.77533,229.49857,39.177155,19.48086,4.982316,84.431274,406.20764,1.0194504
15,2021-07-16,표선면,1000225.3,237451.95,23500.064,113780.64,108.56797,2583.2966,174.33423,5749.58,81.32042,41.39409,414.56033,61.462547,263.14804,37.36602,10.712957,8.023937,78.04872,393.18765,0.026400313
16,2021-07-17,표선면,1067722.5,239039.39,17222.553,133605.45,122.32878,3000.0876,162.51874,5671.2456,94.45292,46.01064,429.3737,87.911,220.5731,53.81628,31.91678,10.392326,90.09226,400.63675,0.12354668
17,2021-07-18,표선면,955638.06,237768.55,16708.959,127097.61,178.53844,2891.6626,188.10396,6041.9,51.704113,36.576805,363.90594,68.61071,226.43675,40.493214,14.176991,2.7411928,82.59511,361.9726,0.4025227
18,2021-07-19,표선면,891963.4,235659.77,22802.822,105728.67,134.33868,2557.1282,183.35947,6074.3325,80.36285,40.160385,401.49023,48.277706,256.01987,36.824207,5.7178793,5.694468,72.35199,335.75858,0.42746657
19,2021-07-20,표선면,928337.44,235641.94,23721.088,97157.62,106.44086,2577.826,158.69522,6081.5947,90.59081,53.116158,400.0168,60.02057,263.4413,44.23941,6.446749,5.3919926,75.97024,400.69833,0.17478858
20,2021-07-21,표선면,780921.06,232164.31,21935.016,96435.05,158.39693,2598.2214,185.48715,5998.915,81.193436,38.900047,344.58398,45.05623,232.83914,31.295425,21.617813,6.826862,68.49546,301.1119,0.39356935
21,2021-07-22,표선면,933354.56,236461.8,21344.824,87018.63,172.85307,2231.1482,170.46,5832.2646,90.501854,55.136845,451.76328,55.857708,239.6797,42.708702,14.974439,2.7796273,97.645935,343.91226,0.5818542
22,2021-07-23,표선면,856010.25,230450.14,21686.988,100209.98,155.83008,2639.2644,168.94038,5892.0874,71.95242,44.859512,423.63968,49.94278,266.6579,36.448338,14.131066,9.249412,91.48431,375.50366,0.133878
23,2021-07-24,표선면,844317.0,231643.16,16505.582,110349.32,143.96173,2931.1318,186.95328,5802.8145,88.71775,53.614796,394.17413,63.11484,224.68233,36.50658,22.985865,10.401273,86.395325,388.1674,0.08207951
24,2021-07-25,표선면,832959.4,237196.97,16551.707,112161.36,109.490486,3083.9282,166.1769,5733.4565,61.43955,38.654243,363.6413,73.163864,191.61311,26.82452,15.508315,5.0844355,69.484726,321.52246,0.5400875
25,2021-07-26,표선면,901486.5,232305.94,22112.213,100787.79,128.92131,3092.7817,177.28406,5849.9985,62.019337,35.67091,373.86044,43.30827,251.07275,35.63522,3.8322375,6.1659923,67.83404,337.49655,0.059255864
26,2021-07-27,표선면,903921.94,228420.33,23084.398,99517.84,103.35568,3404.8318,145.54115,5810.6094,89.05621,42.40085,374.03278,57.669075,257.66586,52.489994,7.195072,6.008257,76.96845,389.4568,-0.33912235
27,2021-07-28,표선면,808559.5,227971.0,20549.654,98438.33,147.9103,3368.581,143.36,5709.908,89.60966,32.60623,331.56622,45.38295,244.76025,41.76756,18.81618,4.4424887,72.77532,337.39407,-0.26845807
28,2021-07-29,표선면,882889.06,233458.19,20435.78,71842.54,133.05324,2666.0737,159.56244,5803.5483,90.51612,40.61703,380.46298,41.711388,226.7736,40.173462,20.191685,0.34095153,94.64421,339.2024,0.5274136
29,2021-07-30,표선면,764716.94,228026.58,20289.682,79353.414,149.00615,2846.555,111.26678,5818.345,84.12022,50.974472,411.81125,45.93049,253.93375,47.904236,15.982158,8.271778,103.37621,401.18625,0.6815462
30,2021-07-31,표선면,852095.7,229284.6,16816.219,98595.695,148.6561,3065.5183,164.8233,5774.952,91.16959,55.49172,387.89746,54.45999,257.75195,42.761105,19.569168,14.41614,85.620705,404.14877,0.72691286
31,2021-08-01,표선면,938891.44,229300.0,16904.988,116394.26,150.51685,3452.9944,189.75865,5984.598,62.905434,38.725353,373.88412,59.566635,227.57805,43.64901,22.324492,5.777712,77.636154,379.8671,0.23616163
32,2021-08-02,표선면,838992.94,226338.97,21716.334,99918.23,172.93777,2825.7969,169.39238,6206.573,70.10608,42.58451,376.87402,41.49998,237.37689,35.045265,3.1133597,6.500794,85.75776,333.4566,0.32299712
33,2021-08-03,표선면,875406.44,225549.66,22911.742,92343.195,155.67072,3187.1946,138.24776,6272.341,81.15884,47.019333,395.66577,47.018528,279.9415,47.49941,8.914324,4.067855,79.20022,398.3369,-0.009289496
34,2021-08-04,표선면,739410.75,223656.31,21287.1,96896.125,190.02795,3022.591,169.03883,6199.713,84.54068,33.99677,353.3109,40.641212,243.61414,39.803753,18.723436,3.099685,67.847206,316.40802,-0.09321073
35,2021-08-05,표선면,802878.56,227695.89,19813.908,79235.734,180.54819,2864.9373,190.03882,6305.237,92.22041,45.10258,381.62888,41.16756,222.55756,49.305527,24.308304,2.3637877,99.38164,338.39627,1.087008
36,2021-08-06,표선면,810970.5,223187.19,20909.723,89685.2,191.85832,3217.4233,184.5472,6053.9253,69.28672,48.828316,406.01385,46.624256,274.67767,39.328384,17.360773,10.595398,101.42897,380.23068,0.18946102
37,2021-08-07,표선면,880817.56,222620.1,17102.975,109081.26,200.33159,3408.185,201.31367,6018.096,84.11743,55.85849,363.78674,45.896145,268.15033,42.322838,24.810898,10.8799305,92.81331,433.18597,0.97675246
38,2021-08-08,표선면,971887.7,225666.8,16698.066,118960.3,193.377,3845.5752,215.42747,6060.21,63.139004,38.284595,354.12402,58.965794,242.37248,43.961304,16.989687,7.604528,69.86934,401.38403,0.3030564
39,2021-08-09,표선면,824945.9,223598.39,21734.115,104916.53,184.35811,3672.1482,171.2759,6193.674,61.38043,40.365326,369.9234,37.30388,250.77904,30.720333,0.49992305,5.979291,74.985374,341.89233,0.15574923
40,2021-08-10,표선면,891901.5,222195.53,22084.174,96284.63,136.78928,4223.903,156.27242,6201.873,76.38719,48.617012,383.30334,49.612644,276.7241,45.131638,7.4301534,9.0385685,71.29837,391.56497,-0.19453225
41,2021-08-11,표선면,834742.3,222775.22,20597.078,102657.445,158.47086,4334.863,163.4076,6272.1953,77.95966,32.825607,343.1102,34.822758,255.05734,32.24598,27.332525,3.5112631,88.41421,331.23672,-0.11026868
42,2021-08-12,표선면,894333.5,222879.5,19656.516,87227.82,132.64388,3427.7983,178.30304,6443.7983,85.99387,33.97826,399.59305,34.682747,236.71176,57.1829,20.827494,1.5147389,95.05527,342.0414,0.57174635
43,2021-08-13,표선면,847326.9,221200.62,20521.738,93989.66,149.9756,3606.9478,165.06322,6432.0547,63.273357,43.923534,423.59753,48.099586,266.566,41.61076,22.050344,7.2810664,99.456116,403.51633,0.32952115
44,2021-08-14,표선면,874377.44,221005.89,16735.72,117000.49,167.43718,3697.76,171.82845,6268.2827,90.44711,58.05655,375.13504,50.213726,262.8499,56.56113,26.103037,13.231771,102.39047,420.80045,0.84991026
45,2021-08-15,표선면,933863.6,225208.0,16358.449,121609.0,180.31148,3776.0947,208.36488,6570.4365,60.31896,34.23202,357.0419,54.966866,237.69171,53.833725,19.249523,6.1596365,74.633316,393.69592,0.370636
46,2021-08-16,표선면,804302.9,223806.78,21498.262,102035.53,167.3396,3629.8628,182.95506,6565.2056,60.093987,40.514336,384.21793,38.26139,243.07031,29.465473,2.3528328,7.0846634,77.12372,344.33823,0.20123538
