,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,한경면,752237.44,157899.66,13465.998,91279.805,81.59786,4602.1157,307.65402,4977.453,56.02367,28.246641,296.8195,18.34209,203.87054,39.80393,7.84747,3.521048,47.451126,293.82065,-2.2583408e-05
1,2021-07-02,한경면,734137.9,157109.66,13410.419,88170.55,80.62249,5297.6494,310.73425,4932.285,52.813133,34.958145,293.01984,19.274994,195.56737,40.903976,6.7858787,3.0949023,47.0111,293.39215,0.044341516
2,2021-07-03,한경면,732645.4,156803.66,12971.404,87082.05,88.027954,6279.946,316.08752,4955.728,49.26387,41.046936,286.22064,20.17836,185.60286,42.233273,7.9737973,1.4969015,47.33052,296.7877,0.086517185
3,2021-07-04,한경면,728392.06,156292.97,12063.435,89096.31,114.861946,7376.952,327.655,4955.046,51.341316,40.76557,280.82635,21.001451,181.26294,41.403103,13.484385,-0.4875924,52.073368,302.27768,0.030922014
4,2021-07-05,한경면,714054.25,156281.3,10497.2705,93226.75,149.83893,8607.085,319.37643,4882.6436,55.681366,31.606405,279.97192,27.619188,186.84827,40.761677,17.762064,-0.7433026,59.540287,295.04028,-0.0040754667
5,2021-07-06,한경면,673068.56,157257.14,9879.008,95225.94,154.97267,9147.859,302.27222,5016.4644,46.704365,21.390615,283.89877,31.097126,181.88264,42.115147,14.234554,3.222014,53.759647,292.468,-0.14045411
6,2021-07-07,한경면,706573.06,157864.55,12584.058,93330.81,127.3086,8478.225,328.79352,5248.253,44.816677,27.406942,283.51086,18.71264,189.79181,43.22063,11.384339,10.4897175,43.845295,345.39505,-0.029540207
7,2021-07-08,한경면,738935.4,154052.7,13783.281,91625.54,106.729256,7065.759,261.50266,4780.4893,47.60889,34.881687,311.3816,11.379991,210.39925,32.218216,9.815241,7.319841,44.227257,369.03363,0.17888665
8,2021-07-09,한경면,717164.2,156277.05,13060.097,87432.0,65.44714,4766.318,308.0403,5152.1377,59.838806,40.034355,351.95386,14.944496,243.15224,38.548195,11.680666,0.8590816,35.13594,340.19467,0.5212212
9,2021-07-10,한경면,603797.06,156411.48,12223.2295,83421.45,65.68404,3372.2368,342.21283,5447.208,52.830402,28.610268,295.8354,18.275286,192.40736,40.74779,10.316335,1.3230532,36.123848,280.8352,0.20284995
