,base_date,emd_nm,em_g,korean_resd_pop_cnt,korean_work_pop_cnt,korean_visit_pop_cnt,longtermfrgn_기타_visit_pop_cnt,longtermfrgn_아시아_visit_pop_cnt,longtermfrgn_기타_resd_pop_cnt,longtermfrgn_아시아_resd_pop_cnt,간식_cnt,농축수산물_cnt,마트/슈퍼마켓_cnt,배달_cnt,식품_cnt,아시아음식_cnt,양식_cnt,주점및주류판매_cnt,패스트푸드_cnt,한식_cnt,부페_cnt
0,2021-07-01,한림읍,1831115.0,464196.1,41969.57,154112.47,171.78958,12453.999,584.3556,24560.506,184.7808,53.95318,632.0802,128.59132,531.4099,74.43531,25.160667,4.7619357,149.7336,805.9975,0.86444986
1,2021-07-02,한림읍,1884890.6,463454.2,43223.305,155726.73,160.22563,12492.955,597.4544,24685.373,184.8533,59.289925,639.7932,129.25395,528.16754,80.510826,28.3545,6.3388085,156.26064,829.5336,0.7457987
2,2021-07-03,한림읍,1936671.2,462779.4,41797.137,160414.31,155.71483,12254.803,593.9113,24442.611,184.00015,65.95228,659.5525,138.22464,533.5666,89.73901,32.619564,7.957044,167.32278,844.26227,0.5607086
3,2021-07-04,한림읍,1956651.8,461076.94,37399.418,164332.66,151.26283,11633.848,575.42944,23623.45,182.54451,69.921165,683.8568,149.26216,542.8285,99.5314,36.384438,9.276405,176.44258,847.01984,0.35122123
4,2021-07-05,한림읍,1927912.9,459470.62,32726.53,162530.8,148.91183,10585.144,550.1443,22681.768,177.36763,70.24654,696.1151,154.1543,552.1271,103.37489,37.0281,9.906166,176.2072,822.33215,0.120131366
5,2021-07-06,한림읍,1862521.0,459350.78,32217.879,153893.02,147.47008,9521.535,534.6286,22592.502,166.00188,68.92071,679.53723,146.79666,557.3664,94.50648,32.599403,8.940645,162.47069,767.8665,-0.022211792
6,2021-07-07,한림읍,1840360.6,463391.94,36792.09,146406.97,161.18948,9373.605,572.4924,24507.82,155.04079,67.32535,659.4082,130.87431,565.4165,78.89288,25.219906,6.442963,145.80449,724.6076,-0.111786455
7,2021-07-08,한림읍,1799765.6,470811.47,41174.38,150128.62,226.12085,10586.892,639.0074,28074.164,146.88211,60.31388,650.8721,115.28417,551.4326,66.20948,18.53679,4.3406973,142.41046,696.7989,-0.2674392
8,2021-07-09,한림읍,1600728.6,472128.28,39319.926,167622.83,325.37784,12433.083,644.2552,30824.012,124.56003,41.90496,598.93713,115.41535,440.64398,55.557156,19.685183,3.9709837,144.87154,608.9469,-0.49100742
9,2021-07-10,한림읍,1706935.8,467618.6,37095.777,184206.27,344.2689,14659.69,627.66534,31383.79,134.4621,39.93512,596.84283,125.61736,427.99362,73.87802,34.92414,6.3839464,164.98901,696.6785,-0.0016278494
10,2021-07-11,한림읍,1871811.6,463333.84,33123.8,188657.69,334.16315,15778.931,625.6402,31105.26,161.16515,45.0297,632.8742,135.95184,492.45633,102.77409,46.36691,10.27139,182.78865,862.0182,0.6507274
11,2021-07-12,한림읍,1818915.0,461794.38,29020.365,180067.11,321.3555,15349.451,611.39435,30269.836,166.50757,42.56053,645.8813,129.72604,505.45016,109.14447,44.92738,12.728732,170.67137,900.5864,0.69079286
12,2021-07-13,한림읍,1739486.1,458982.28,31234.05,168582.4,270.67755,14802.154,595.5417,28725.547,168.71947,42.569542,647.8469,110.41062,496.29495,97.60405,37.551533,13.07374,148.82932,881.20667,0.7535887
13,2021-07-14,한림읍,1771875.8,453005.94,38301.523,165693.5,204.23505,14308.229,617.14136,26206.59,174.35873,46.827396,658.1256,93.84037,496.4757,87.101326,31.35629,12.716747,138.36418,885.6101,0.96854913
14,2021-07-15,한림읍,1864500.8,446874.56,43776.473,171124.78,178.1848,14003.772,640.03217,23672.412,178.08124,51.02207,670.41284,85.37487,502.99194,87.45044,28.924925,11.863304,140.80356,901.6347,0.7456242
15,2021-07-16,한림읍,1934253.0,442516.44,44855.812,180192.75,189.76697,13804.907,659.9458,22067.895,179.81975,56.53464,673.20935,87.07789,501.77936,91.759,30.694891,9.297069,148.31773,897.503,0.21454196
16,2021-07-17,한림읍,1979225.4,440835.3,41012.58,190833.05,204.22252,13846.968,701.954,21923.533,182.17177,62.35513,675.442,98.58535,500.72675,100.06056,37.486603,7.2142572,157.01492,900.3372,-0.028891973
17,2021-07-18,한림읍,2050334.4,442036.9,30215.11,208844.42,218.81737,14447.722,743.14886,22920.133,185.10713,62.301548,712.6652,122.054855,513.7848,123.31946,50.341755,9.0014925,170.00584,956.68176,0.054147765
18,2021-07-19,한림읍,2054074.6,445060.38,22477.338,212404.27,258.3245,14140.937,732.9236,23353.621,174.90706,52.81738,728.96234,133.81668,513.44794,134.11624,54.291267,11.501352,165.59525,968.16693,0.097726986
19,2021-07-20,한림읍,2031709.6,444596.5,32913.484,192702.8,266.51535,14631.13,744.95844,23107.082,166.90968,51.75523,683.3737,108.16354,531.2797,101.647064,39.900154,7.881657,131.83434,893.5431,0.24554668
20,2021-07-21,한림읍,2182341.0,447826.03,44638.574,186825.06,246.58405,17358.596,850.7918,24449.463,180.6893,64.667595,684.60565,101.36282,578.3208,87.53062,33.951748,5.449291,126.45763,913.612,0.40178436
21,2021-07-22,한림읍,2098355.2,450851.4,44884.527,179539.66,240.47966,18862.477,837.06757,25402.629,179.15132,68.56289,668.42303,114.68512,557.905,96.9453,32.538418,6.686082,138.45113,925.84625,0.13893938
22,2021-07-23,한림읍,1993294.0,454963.84,41296.316,172807.12,279.00476,19260.496,828.2604,26491.033,174.97119,63.266243,667.08307,136.87743,531.74164,100.186554,31.216518,9.445537,153.0776,894.86633,-0.10278127
23,2021-07-24,한림읍,2003695.4,455724.4,39423.637,175202.84,309.78925,17730.816,847.98126,26507.479,182.6941,60.54426,693.7001,154.02734,532.9552,85.92314,35.25893,10.912992,164.12465,849.3557,-0.011349767
24,2021-07-25,한림읍,2211279.8,452540.25,35724.934,189543.1,364.13803,15228.882,911.3497,25291.77,198.40723,69.86057,743.1176,158.74045,563.0697,83.85439,53.761974,11.163499,188.4048,938.40717,0.44080114
25,2021-07-26,한림읍,2284494.0,449681.38,27307.441,198878.19,398.14737,12284.351,948.34503,23734.596,189.46147,68.11723,760.3225,146.92976,564.2049,99.649,60.914677,8.136195,187.1402,1000.18066,0.51615524
26,2021-07-27,한림읍,2199778.8,449418.7,33604.58,185144.25,306.31235,11024.792,986.77405,22999.6,188.40233,62.674625,715.5832,123.723114,548.0847,91.54872,46.49556,2.9189262,148.81633,938.37396,0.080847256
27,2021-07-28,한림읍,2256459.8,450469.62,44266.87,181509.73,232.28072,11306.861,1045.3826,23485.75,196.33678,66.61731,691.03467,112.98824,552.81165,91.26489,35.741055,4.5256934,134.72006,957.3983,0.45540175
28,2021-07-29,한림읍,2281387.0,450995.72,48135.984,183604.84,212.58357,11494.502,1048.9261,23781.525,190.00716,71.80951,678.0681,112.33205,535.71436,98.02966,34.081642,7.86457,138.98953,974.3078,1.0116822
29,2021-07-30,한림읍,2288621.0,450700.44,47619.29,190274.98,229.46588,11668.19,1042.4003,23359.83,181.39516,84.26954,673.20557,121.37968,513.1617,99.53086,39.56875,8.436063,149.71817,963.9958,1.2043736
