,year,month,emd_nm,resd_age,work_age_0-10,work_age_-20,visit_age
0,2018,1,건입동,4935982.993,33510.042100000006,670425.2758999999,4938897.022899998
1,2018,1,구좌읍,7998788.4651,115808.0982,638043.8825999999,5099720.2497000005
2,2018,1,남원읍,8648312.3949,59912.2082,632530.6669,5555026.675899999
3,2018,1,노형동,36306226.5555,783070.8816999998,2809216.4725,15269844.274
4,2018,1,대륜동,8274240.1097,113728.78820000001,696779.6452999999,6600239.215199999
5,2018,1,대정읍,11384549.8081,64830.00690000001,563288.1898,4323924.5278
6,2018,1,대천동,4458146.789600001,52326.0082,312959.21290000004,4224363.9684999995
7,2018,1,도두동,853879.8132,5466.2921,142191.5673,2689836.4636999997
8,2018,1,동홍동,11589535.703200001,296204.8744,737345.0911000001,5262330.775900001
9,2018,1,봉개동,2290286.7251,106370.07919999998,285522.4271,2670403.9027
10,2018,1,삼도1동,6493972.0622,67992.47630000001,446750.66089999996,4759852.5142
11,2018,1,삼도2동,3046403.6923,37322.32310000001,334167.0826,3976088.3737000003
12,2018,1,삼양동,13748029.6376,88308.70750000002,515679.4541999999,3593751.1607
13,2018,1,서홍동,3590031.9246,48852.7055,183130.3869,2423403.9961
14,2018,1,성산읍,8320284.057,32405.021099999998,541430.3187,6437132.443
15,2018,1,송산동,1249305.4449999998,3328.7528999999995,64644.3012,1383302.4129
16,2018,1,아라동,22251079.632300004,492002.9199000001,2353556.9102999996,8590540.802700002
17,2018,1,안덕면,8802278.4171,358312.6526,1167971.8691999998,6870769.522600001
18,2018,1,애월읍,22217702.053200003,206681.12239999996,1921510.9284,14889536.125399997
19,2018,1,연동,31443937.898,467651.18739999994,3229127.9519999996,16880950.569199998
20,2018,1,영천동,2562671.9427999994,106859.3396,379970.6082,2808552.2274
21,2018,1,예래동,1942086.6739000003,30286.791700000005,606991.4859999999,5577175.4783
22,2018,1,오라동,9166364.257,90779.44419999998,997463.5102,8847735.7502
23,2018,1,외도동,6388722.299799999,71672.45859999998,312489.37669999996,3425383.8776000002
24,2018,1,용담1동,4690039.881,85760.20319999999,254813.3151,3177612.1202
25,2018,1,용담2동,7445161.234900001,221249.66299999994,1374731.5238999997,8375225.2876
26,2018,1,우도면,792158.4764,3785.2830999999996,46267.43090000001,636474.0949
27,2018,1,이도1동,4865123.0376,74466.6949,898264.4258000001,5704396.5262
28,2018,1,이도2동,37299177.4336,1080610.0009999997,3587156.7599000004,18929704.730899997
29,2018,1,이호동,2124898.2599,2486.0965999999994,189976.9426,2233732.7666
30,2018,1,일도1동,1003281.6055000002,22687.939800000004,202220.7804,2129116.6214
31,2018,1,일도2동,21201417.528900005,231120.24070000002,970253.9095999999,8139831.2448
32,2018,1,정방동,1385499.8342,28016.987500000003,240368.83699999997,3327371.9033
33,2018,1,조천읍,12351596.8246,106341.21840000001,1169251.5237000003,7999581.746700001
