,year,month,emd_nm,resd_work20_visit_age,work_age_0-10
0,2018,1,건입동,10545305.291799998,33510.042100000006
1,2018,1,구좌읍,13736552.5974,115808.0982
2,2018,1,남원읍,14835869.737699999,59912.2082
3,2018,1,노형동,54385287.302,783070.8816999998
4,2018,1,대륜동,15571258.970199998,113728.78820000001
5,2018,1,대정읍,16271762.5257,64830.00690000001
6,2018,1,대천동,8995469.971,52326.0082
7,2018,1,도두동,3685907.8441999997,5466.2921
8,2018,1,동홍동,17589211.570200004,296204.8744
9,2018,1,봉개동,5246213.0549,106370.07919999998
10,2018,1,삼도1동,11700575.2373,67992.47630000001
11,2018,1,삼도2동,7356659.148600001,37322.32310000001
12,2018,1,삼양동,17857460.252499998,88308.70750000002
13,2018,1,서홍동,6196566.3076,48852.7055
14,2018,1,성산읍,15298846.8187,32405.021099999998
15,2018,1,송산동,2697252.1591,3328.7528999999995
16,2018,1,아라동,33195177.345300008,492002.9199000001
17,2018,1,안덕면,16841019.8089,358312.6526
18,2018,1,애월읍,39028749.107,206681.12239999996
19,2018,1,연동,51554016.41919999,467651.18739999994
20,2018,1,영천동,5751194.7784,106859.3396
21,2018,1,예래동,8126253.6382,30286.791700000005
22,2018,1,오라동,19011563.517399997,90779.44419999998
23,2018,1,외도동,10126595.5541,71672.45859999998
24,2018,1,용담1동,8122465.3163,85760.20319999999
25,2018,1,용담2동,17195118.046400003,221249.66299999994
26,2018,1,우도면,1474900.0022,3785.2830999999996
27,2018,1,이도1동,11467783.9896,74466.6949
28,2018,1,이도2동,59816038.9244,1080610.0009999997
29,2018,1,이호동,4548607.9691,2486.0965999999994
30,2018,1,일도1동,3334619.0073,22687.939800000004
31,2018,1,일도2동,30311502.683300007,231120.24070000002
32,2018,1,정방동,4953240.5745,28016.987500000003
33,2018,1,조천읍,21520430.095000003,106341.21840000001
34,2018,1,중문동,8826137.2846,66274.58769999999
35,2018,1,중앙동,4972620.958800001,96219.8475
36,2018,1,천지동,2252021.9791,11190.367699999999
37,2018,1,추자면,1612062.0895000002,100.888
38,2018,1,표선면,10579065.0882,70365.51260000002
39,2018,1,한경면,6212558.0162,14070.0762
40,2018,1,한림읍,19671254.382600002,167746.7927
41,2018,1,화북동,25486322.9309,330608.22870000004
42,2018,1,효돈동,4036662.6904999996,26989.07110000001
43,2018,2,건입동,9558365.4775,31837.157700000003
44,2018,2,구좌읍,12210283.053000001,51200.59959999999
45,2018,2,남원읍,12512850.022799999,67873.3571
46,2018,2,노형동,47940287.288399994,501886.6569999999
47,2018,2,대륜동,13759594.944500003,72035.50910000001
48,2018,2,대정읍,14459091.2513,49441.5254
49,2018,2,대천동,7264282.6133,27036.638899999998
50,2018,2,도두동,3076541.6168000004,7497.401
51,2018,2,동홍동,15794118.221099999,106929.8678
52,2018,2,봉개동,4365912.0696,23863.885199999997
53,2018,2,삼도1동,10381370.8295,84127.7244
54,2018,2,삼도2동,6492046.738700001,27746.290700000005
55,2018,2,삼양동,16650180.455,54153.9861
56,2018,2,서홍동,5552703.017000001,25869.373400000004
57,2018,2,성산읍,13259804.180599999,31784.300899999995
58,2018,2,송산동,2314420.9601,10322.542400000002
59,2018,2,아라동,29789607.917500004,149448.5624
60,2018,2,안덕면,15011050.7997,196676.43720000001
61,2018,2,애월읍,34270299.0457,140983.24109999998
62,2018,2,연동,45493913.2094,352459.7622
63,2018,2,영천동,5061568.2165,45821.86650000001
64,2018,2,예래동,6807802.639400001,27960.0328
65,2018,2,오라동,17124612.6118,116143.35300000003
66,2018,2,외도동,8634082.5352,64165.455799999996
67,2018,2,용담1동,7445571.628299999,29327.1454
68,2018,2,용담2동,15259531.738499999,110821.66690000001
